,ln_cpi_sub,ln_s,ln_bm,I,ln_IPC_total
2001M1,462.0111999,205.4123734,935.9716816,5.72,396.4994732
2001M2,463.0490601,204.6401688,937.467615,6.24,397.2268207
2001M3,463.7568545,204.1220329,938.9465158,5.4,397.76401
2001M4,464.2637632,204.7692843,938.7465115,4.42,398.1916934
2001M5,464.7281487,205.0270164,938.6937241,5.05,398.4919212
2001M6,465.4514958,205.4123734,937.4752508,4.98,399.2241723
2001M7,466.098727,205.4123734,940.2983478,4.83,400.0939508
2001M8,467.4329297,206.0513532,939.3753,4.83,401.332913
2001M9,468.1888188,207.3171929,941.0747396,4.63,401.6519824
2001M10,469.0439029,209.3097868,944.4402498,4.47,402.3987421
2001M11,469.7885821,208.9391873,942.5403363,4.93,403.0938008
2001M12,470.4929182,207.4429,954.3464152,4.52,403.6739396
2002M1,472.4082007,208.1938422,953.0298426,4.53,404.9784051
2002M2,473.563579,207.1913275,948.6379933,4.23,405.8536644
2002M3,474.2377302,206.8127782,954.8471232,5.25,406.4984236
2002M4,474.8382222,205.6684555,953.9771449,4.56,407.0414435
2002M5,475.2171038,206.3058062,951.7060073,4.31,407.3959281
2002M6,475.696359,206.6862759,948.5529734,4.39,407.9692989
2002M7,476.1360099,206.1786606,952.2205171,4.11,408.8014326
2002M8,476.5569829,205.0270164,952.7913716,4.91,408.7752603
2002M9,476.9316282,205.1556338,945.819995,4.45,408.5131599
2002M10,477.360037,204.5108863,950.7180382,4.47,408.7927093
2002M11,477.7809437,202.9463172,962.7780163,5.4,409.2453169
2002M12,478.2077948,203.4705648,969.7723352,2.22,409.8082108
2003M1,479.4145971,205.4123734,956.5830614,1.03,410.9928757
2003M2,480.1992678,205.796251,965.8916054,4.13,411.6817418
2003M3,480.6687568,206.8127782,959.5180915,1.41,412.1130504
2003M4,481.1991613,206.8127782,968.7300995,0.87,412.5593105
2003M5,481.6317267,206.6862759,960.8518998,0.82,412.8110307
2003M6,482.084157,206.9391206,960.7127939,1.1,413.0788357
2003M7,482.4355674,206.9391206,966.5084414,1.48,413.3459254
2003M8,482.7247729,206.9391206,962.6870701,1.4,413.6206166
2003M9,483.0323876,207.6938411,958.1255442,1.45,414.0353828
2003M10,483.3318234,209.1864062,968.4292446,1.71,414.4649226
2003M11,483.5942008,208.9391873,966.2103653,1.96,414.9172446
2003M12,483.9764803,208.3184528,974.3224899,1.83,415.4981421
2004M1,485.2906989,209.3097868,967.9800103,1.83,417.0201922
2004M2,486.0067178,209.1864062,969.1092281,1.94,417.7566669
2004M3,486.4913172,209.1864062,972.0657867,1.86,418.4719207
2004M4,486.8748406,208.5672091,971.2926141,1.92,419.0010851
2004M5,487.4409379,207.6938411,969.4277724,2.1,419.8247807
2004M6,488.0174459,207.1913275,968.816335,2.26,420.2224265
2004M7,488.3684488,206.6862759,967.1877007,2.72,420.7037192
2004M8,488.9021104,206.8127782,972.6899528,2.41,420.9975641
2004M9,489.4473543,206.6862759,971.7627744,2.08,421.7744015
2004M10,490.0116237,205.796251,973.701966,2.07,422.7503165
2004M11,490.6954626,205.0270164,972.3642926,2.43,423.7393397
2004M12,491.2277241,205.1556338,985.6091916,2.68,424.323611
2005M1,492.7659835,204.8982334,974.8901778,2.55,425.6737799
2005M2,493.552561,204.3814364,980.1969645,2.61,426.4079437
2005M3,494.0517361,203.077637,982.2114794,2.75,426.8749956
2005M4,494.4567498,202.9463172,982.1740477,2.75,427.5064162
2005M5,495.0568184,202.6831591,982.3453595,2.829545455,428.0043784
2005M6,495.5404433,202.9463172,981.0944541,3,428.6573424
2005M7,495.9850292,202.6831591,984.8482113,3.05952381,429.5969849
2005M8,496.2831343,202.6831591,981.2260027,3.336956522,429.9576769
2005M9,496.7755628,203.077637,982.7065366,3.613636364,430.8012672
2005M10,497.5424817,203.8619547,987.6424633,3.75,432.5430967
2005M11,498.1269372,202.9463172,985.678895,3.840909091,432.584365
2005M12,498.6553986,202.9463172,995.9040512,4.113636364,432.5430967
2006M1,499.8780638,203.077637,995.9650471,4.25,433.4470886
2006M2,500.4273098,202.9463172,994.8594751,4.25,433.4198146
2006M3,500.909157,203.077637,995.7544774,4.25,433.9028252
2006M4,501.3774163,202.6831591,997.6707763,4.275,434.720646
2006M5,501.7491205,202.55132,999.9983393,4.5,435.3447044
2006M6,502.0956711,202.9463172,999.5337206,4.579545455,435.9382967
2006M7,502.5024866,202.55132,999.6094081,4.785714286,436.3960849
2006M8,502.8287899,202.55132,1002.593923,5,436.7199129
2006M9,503.1297552,202.9463172,999.1800582,5,436.3431152
2006M10,503.4527587,202.9463172,1011.36026,5,436.3232444
2006M11,503.7577018,202.9463172,1003.741074,5,436.8913152
2006M12,504.2650753,202.8148247,1014.791107,5,438.1740553
2007M1,505.3900573,203.8619547,1013.00054,5,439.4854859
2007M2,506.028566,204.1220329,1014.055373,5,439.8314627
2007M3,506.6343568,203.9920784,1014.62494,5.022727273,440.6912037
2007M4,507.0858204,203.6011984,1011.994883,5.285714286,440.9255516
2007M5,507.487252,203.3397603,1014.087715,5.5,440.6658359
2007M6,507.9310497,203.8619547,1017.24607,5.5,441.115161
2007M7,508.4000495,203.8619547,1019.431592,5.5,441.8324159
2007M8,508.9604626,203.6011984,1016.306332,5.5,442.7435555
2007M9,509.4566371,204.1220329,1018.007708,5.525,443.418418
2007M10,509.8860678,204.3814364,1018.64799,5.75,443.7572239
2007M11,510.5791765,203.3397603,1016.254636,6.011363636,445.627576
2007M12,511.393601,203.2087845,1025.547804,6.285714286,446.5587653
2008M1,512.7678382,204.1220329,1022.516155,6.5,447.5405947
2008M2,513.689936,204.3814364,1020.123381,6.5,448.2310054
2008M3,514.5485134,203.3397603,1018.80949,6.535714286,449.4002675
2008M4,515.3494869,202.0222182,1018.398261,6.75,450.7913032
2008M5,516.2084729,200.5525859,1016.240357,6.75,452.2141261
2008M6,517.0984438,201.3568798,1018.910625,6.75,453.828511
2008M7,518.1202707,200.6870849,1018.917013,6.880434783,455.0718613
2008M8,518.6497702,200.2830439,1020.331803,7.25,455.5703696
2008M9,519.2179104,200.9555414,1020.51391,7.25,455.4172469
2008M10,519.850123,201.8895042,1020.020493,7.25,455.9140406
2008M11,520.3801831,203.3397603,1021.45101,7.25,455.9249315
2008M12,520.7244297,204.2518188,1026.255613,7.25,455.5430434
2009M1,521.3568573,206.1786606,1020.643624,7.227272727,455.1267642
2009M2,521.7051073,207.3171929,1020.063964,6.95,454.5266908
2009M3,521.9027754,208.9391873,1021.314269,6.454545455,454.2779001
2009M4,522.0956239,209.0628731,1024.632875,6.113636364,454.3498365
2009M5,522.3462077,209.1864062,1025.352804,5.75,454.4825065
2009M6,522.5854356,209.5560924,1026.470118,5.545454545,454.4438293
2009M7,522.8819796,210.1692151,1026.126339,5.206521739,454.7693558
2009M8,523.1255504,211.1424588,1026.270626,4.75,454.8354351
2009M9,523.4661922,211.8662255,1029.143682,4.636363636,455.4500787
2009M10,523.674346,212.2261539,1027.767181,4.5,455.2584081
2009M11,523.9396318,211.6255515,1029.727137,4.5,455.3132086
2009M12,524.146724,211.9863456,1036.735678,4.5,455.2638895
2010M1,524.8197068,212.4653885,1033.090983,4.5,456.5493369
2010M2,525.1770317,209.8017927,1030.484758,4.5,456.9853841
2010M3,525.6256584,208.1938422,1036.557556,4.5,458.1287246
