"Variables ->","d4_ln_y_star","d4_ln_y","d4_ln_cpi_sub","d4_ln_s","d4_ln_bm","d4_ln_cpi","d4_ln_ipei","i","i_star"
"Comments ->","Real Gross Domestic Product","","","","","","","","Federal Funds Effective Rate"
"Class[Size] ->","Series[304-by-1]","tseries[304-by-1]","tseries[304-by-1]","tseries[304-by-1]","tseries[304-by-1]","tseries[304-by-1]","tseries[304-by-1]","tseries[304-by-1]","Series[304-by-1]"
"1948Q1",2.57799538e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1948Q2",4.48244623e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1948Q3",5.26040985e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1948Q4",3.81978039e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1949Q1",9.38793769e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1949Q2",-1.04031608e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1949Q3",-5.84558519e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1949Q4",-1.53911546e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1950Q1",3.70342508e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1950Q2",7.04897569e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1950Q3",9.81258657e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1950Q4",1.25507735e+01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1951Q1",1.00432284e+01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1951Q2",8.75521759e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1951Q3",7.00203281e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1951Q4",5.32389515e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1952Q1",5.03635135e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1952Q2",3.53311770e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1952Q3",2.21270192e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1952Q4",5.22516347e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1953Q1",6.00585991e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1953Q2",6.56190788e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1953Q3",5.27916173e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1953Q4",5.22693081e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1954Q1",-1.79799246e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1954Q2",-2.45875810e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1954Q3",-7.71297973e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.03000000e+00
"1954Q4",2.69205623e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.86666667e-01
"1955Q1",5.98732686e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.34333333e+00
"1955Q2",7.49241647e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.50000000e+00
"1955Q3",7.71083950e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.94000000e+00
"1955Q4",6.37164702e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.35666667e+00
"1956Q1",3.16629335e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.48333333e+00
"1956Q2",2.37502964e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.69333333e+00
"1956Q3",9.43506886e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.81000000e+00
"1956Q4",1.97715055e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.92666667e+00
"1957Q1",3.00417494e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.93333333e+00
"1957Q2",1.96161551e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.00000000e+00
"1957Q3",3.02651089e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.23333333e+00
"1957Q4",3.54070994e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.25333333e+00
"1958Q1",-2.91434775e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.86333333e+00
"1958Q2",-2.04021638e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.40000000e-01
"1958Q3",-7.28603948e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.32333333e+00
"1958Q4",2.62263515e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.16333333e+00
"1959Q1",7.15306402e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.57000000e+00
"1959Q2",8.72673219e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.08333333e+00
"1959Q3",6.50967045e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.57666667e+00
"1959Q4",4.48293364e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.99000000e+00
"1960Q1",4.80641501e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.93333333e+00
"1960Q2",2.03818452e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.69666667e+00
"1960Q3",2.45721707e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.93666667e+00
"1960Q4",8.81207304e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.29666667e+00
"1961Q1",-6.69761125e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.00333333e+00
"1961Q2",1.55365275e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.73333333e+00
"1961Q3",2.96707725e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.68333333e+00
"1961Q4",6.20118849e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.40000000e+00
"1962Q1",7.29638115e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.45666667e+00
"1962Q2",6.51346494e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.60666667e+00
"1962Q3",5.83337434e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.84666667e+00
"1962Q4",4.21955802e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.92333333e+00
"1963Q1",3.53778562e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.96666667e+00
"1963Q2",3.75326161e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.96333333e+00
"1963Q3",4.70619805e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.33000000e+00
"1963Q4",5.03110056e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.45333333e+00
"1964Q1",6.03171830e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.46333333e+00
"1964Q2",5.99873703e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.49000000e+00
"1964Q3",5.37425045e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.45666667e+00
"1964Q4",5.02920148e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.57666667e+00
"1965Q1",5.33350586e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.97666667e+00
"1965Q2",5.50588076e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.08000000e+00
"1965Q3",6.15417052e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.07666667e+00
"1965Q4",8.12321907e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.16666667e+00
"1966Q1",8.13681627e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.56000000e+00
"1966Q2",7.22214941e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.91333333e+00
"1966Q3",5.86660795e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.41000000e+00
