,alpha
2000M01,0.419945052
2000M02,0.419945052
2000M03,0.419945052
2000M04,0.419945052
2000M05,0.419945052
2000M06,0.419945052
2000M07,0.419945052
2000M08,0.419945052
2000M09,0.419945052
2000M10,0.419945052
2000M11,0.419945052
2000M12,0.419945052
2001M01,0.418750972
2001M02,0.420649465
2001M03,0.423804942
2001M04,0.427951709
2001M05,0.42813727
2001M06,0.43070943
2001M07,0.43085563
2001M08,0.42836769
2001M09,0.429702745
2001M10,0.431117478
2001M11,0.429664897
2001M12,0.431270136
2002M01,0.431401196
2002M02,0.432416377
2002M03,0.430260709
2002M04,0.427336052
2002M05,0.425140265
2002M06,0.426470295
2002M07,0.4274007
2002M08,0.428871687
2002M09,0.428050549
2002M10,0.425677936
2002M11,0.427149983
2002M12,0.427936228
2003M01,0.42671985
2003M02,0.425428063
2003M03,0.425842066
2003M04,0.425179559
2003M05,0.425285957
2003M06,0.421085576
2003M07,0.417516215
2003M08,0.420727381
2003M09,0.419178172
2003M10,0.41903267
2003M11,0.418620298
2003M12,0.415441269
2004M01,0.413699163
2004M02,0.410598631
2004M03,0.408026573
2004M04,0.406037629
2004M05,0.403123564
2004M06,0.400804856
2004M07,0.402806458
2004M08,0.396434951
2004M09,0.393772275
2004M10,0.392055673
2004M11,0.389728948
2004M12,0.387795488
2005M01,0.386382641
2005M02,0.386518824
2005M03,0.386545561
2005M04,0.386118134
2005M05,0.388258715
2005M06,0.390689161
2005M07,0.388888422
2005M08,0.390423322
2005M09,0.388608844
2005M10,0.383377528
2005M11,0.380251467
2005M12,0.379200316
2006M01,0.375095579
2006M02,0.371007187
2006M03,0.366545972
2006M04,0.363888284
2006M05,0.362056833
2006M06,0.354164258
2006M07,0.353096547
2006M08,0.348371155
2006M09,0.34527378
2006M10,0.347608313
2006M11,0.347348743
2006M12,0.345314038
2007M01,0.345769523
2007M02,0.344763162
2007M03,0.343586366
2007M04,0.341654835
2007M05,0.339427732
2007M06,0.343325111
2007M07,0.338516625
2007M08,0.339834686
2007M09,0.34135149
2007M10,0.340090554
2007M11,0.337849666
2007M12,0.342107433
2008M01,0.345427761
2008M02,0.348930627
2008M03,0.35059192
2008M04,0.353064881
2008M05,0.354026869
2008M06,0.353064893
2008M07,0.355326011
2008M08,0.359939236
2008M09,0.358720745
2008M10,0.361445054
2008M11,0.363680164
2008M12,0.360092278
2009M01,0.361578727
2009M02,0.361039382
2009M03,0.362524407
2009M04,0.362289653
2009M05,0.362430791
2009M06,0.360967972
2009M07,0.362172651
2009M08,0.356454938
2009M09,0.359019758
2009M10,0.357864468
2009M11,0.360717557
2009M12,0.365006185
2010M01,0.365140157
2010M02,0.366581749
2010M03,0.370381197
2010M04,0.368875352
2010M05,0.372707095
2010M06,0.37587561
2010M07,0.371911175
2010M08,0.371094935
2010M09,0.371373053
2010M10,0.372683734
2010M11,0.37120185
2010M12,0.370895435
2011M01,0.373321054
2011M02,0.373897585
2011M03,0.374901447
2011M04,0.376641007
2011M05,0.378174572
2011M06,0.377868791
2011M07,0.38370085
2011M08,0.389435131
2011M09,0.388596593
2011M10,0.388416035
2011M11,0.391563297
2011M12,0.391776002
2012M01,0.389680101
2012M02,0.391554127
2012M03,0.389980278
2012M04,0.392909401
2012M05,0.38997595
2012M06,0.388979222
2012M07,0.387813396
2012M08,0.387965229
2012M09,0.390428838
2012M10,0.389800847
2012M11,0.383367435
2012M12,0.380571937
2013M01,0.380905212
2013M02,0.379889251
2013M03,0.37687749
2013M04,0.370924989
2013M05,0.367329758
2013M06,0.365546487
2013M07,0.364315355
2013M08,0.36017211
2013M09,0.362093499
2013M10,0.363148805
2013M11,0.368156232
2013M12,0.371402906
2014M01,0.373101031
2014M02,0.372772199
2014M03,0.377793842
2014M04,0.38247426
2014M05,0.386538699
2014M06,0.391290578
2014M07,0.39409991
2014M08,0.400321119
2014M09,0.400859874
2014M10,0.403395322
2014M11,0.403119679
2014M12,0.402189292
2015M01,0.400939594
2015M02,0.397664602
2015M03,0.394589489
2015M04,0.394418977
2015M05,0.392915743
2015M06,0.390712236
2015M07,0.38875688
2015M08,0.382155937
2015M09,0.376363283
2015M10,0.372960695
2015M11,0.372762307
2015M12,0.369355491
2016M01,0.36774855
2016M02,0.369725909
2016M03,0.369708906
2016M04,0.370137472
2016M05,0.371356698
2016M06,0.373907357
2016M07,0.372453554
2016M08,0.373341422
2016M09,0.378284624
2016M10,0.379685285
2016M11,0.378591712
2016M12,0.380099322
2017M01,0.382438345
2017M02,0.384498302
2017M03,0.38676965
2017M04,0.389168802
2017M05,0.387353848
2017M06,0.38705977
2017M07,0.390533561
2017M08,0.39328909
2017M09,0.390826464
2017M10,0.391632171
2017M11,0.393985961
2017M12,0.397925476
2018M01,0.396325064
2018M02,0.395175846
2018M03,0.394232855
2018M04,0.389826615
2018M05,0.391168586
2018M06,0.389859581
2018M07,0.385269062
2018M08,0.384314022
2018M09,0.385361451
2018M10,0.385693768
2018M11,0.383291916
2018M12,0.378837754
2019M01,0.37691542
2019M02,0.375028082
2019M03,0.373575069
2019M04,0.376807054
2019M05,0.376190366
2019M06,0.37523885
2019M07,0.376974588
2019M08,0.374269852
2019M09,0.372169927
2019M10,0.369779963
2019M11,0.370179708
2019M12,0.370723962
2020M01,0.370482905
2020M02,0.370866658
2020M03,0.369509422
2020M04,0.36110579
2020M05,0.354564831
2020M06,0.350904699
2020M07,0.34925344
2020M08,0.348533106
2020M09,0.34635576
2020M10,0.344764367
2020M11,0.343779152
2020M12,0.342997259
2021M01,0.34351095
2021M02,0.340982396
2021M03,0.340827427
2021M04,0.343754524
2021M05,0.347143169
2021M06,0.349164014
2021M07,0.349867086
2021M08,0.348802881
2021M09,0.347170523
2021M10,0.345191981
2021M11,0.342242542
2021M12,0.339621692
2022M01,0.335483793
2022M02,0.33575623
2022M03,0.335016532
2022M04,0.339220128
2022M05,0.341249013
2022M06,0.342902662
2022M07,0.34369505
2022M08,0.344907145
2022M09,0.346266712
2022M10,0.349535142
2022M11,0.349767135
2022M12,0.350689448
2023M01,0.354121557
2023M02,0.354995335
2023M03,0.353350927
2023M04,0.349769215
2023M05,0.348102181
2023M06,0.344092506
2023M07,0.340136668
2023M08,0.341218593
2023M09,0.340333312
2023M10,0.338699943
2023M11,0.338572965
2023M12,0.336575671
2024M01,
