,i
2001M01,5.72
2001M02,6.24
2001M03,5.4
2001M04,4.42
2001M05,5.05
2001M06,4.98
2001M07,4.83
2001M08,4.83
2001M09,4.63
2001M10,4.47
2001M11,4.93
2001M12,4.52
2002M01,4.53
2002M02,4.23
2002M03,5.25
2002M04,4.56
2002M05,4.31
2002M06,4.39
2002M07,4.11
2002M08,4.91
2002M09,4.45
2002M10,4.47
2002M11,5.4
2002M12,2.22
2003M01,1.03
2003M02,4.13
2003M03,1.41
2003M04,0.87
2003M05,0.82
2003M06,1.1
2003M07,1.48
2003M08,1.4
2003M09,1.45
2003M10,1.71
2003M11,1.96
2003M12,1.83
2004M01,1.83
2004M02,1.94
2004M03,1.86
2004M04,1.92
2004M05,2.1
2004M06,2.26
2004M07,2.72
2004M08,2.41
2004M09,2.08
2004M10,2.07
2004M11,2.43
2004M12,2.68
2005M01,2.55
2005M02,2.61
2005M03,2.75
2005M04,2.75
2005M05,2.829545455
2005M06,3
2005M07,3.05952381
2005M08,3.336956522
2005M09,3.613636364
2005M10,3.75
2005M11,3.840909091
2005M12,4.113636364
2006M01,4.25
2006M02,4.25
2006M03,4.25
2006M04,4.275
2006M05,4.5
2006M06,4.579545455
2006M07,4.785714286
2006M08,5
2006M09,5
2006M10,5
2006M11,5
2006M12,5
2007M01,5
2007M02,5
2007M03,5.022727273
2007M04,5.285714286
2007M05,5.5
2007M06,5.5
2007M07,5.5
2007M08,5.5
2007M09,5.525
2007M10,5.75
2007M11,6.011363636
2007M12,6.285714286
2008M01,6.5
2008M02,6.5
2008M03,6.535714286
2008M04,6.75
2008M05,6.75
2008M06,6.75
2008M07,6.880434783
2008M08,7.25
2008M09,7.25
2008M10,7.25
2008M11,7.25
2008M12,7.25
2009M01,7.227272727
2009M02,6.95
2009M03,6.454545455
2009M04,6.113636364
2009M05,5.75
2009M06,5.545454545
2009M07,5.206521739
2009M08,4.75
2009M09,4.636363636
2009M10,4.5
2009M11,4.5
2009M12,4.5
2010M01,4.5
2010M02,4.5
2010M03,4.5
2010M04,4.5
2010M05,4.5
2010M06,4.5
2010M07,4.5
2010M08,4.5
2010M09,4.5
2010M10,4.5
2010M11,4.5
2010M12,4.5
2011M01,4.5
2011M02,4.5
2011M03,4.5
2011M04,4.75
2011M05,4.75
2011M06,4.75
2011M07,4.75
2011M08,5
2011M09,5
2011M10,5.5
2011M11,5.5
2011M12,5.5
2012M01,5.5
2012M02,5.5
2012M03,5.5
2012M04,5.5
2012M05,5.5
2012M06,5.5
2012M07,5
2012M08,5
2012M09,5
2012M10,5
2012M11,5
2012M12,5
2013M01,5
2013M02,5
2013M03,5
2013M04,5.25
2013M05,5.25
2013M06,5.25
2013M07,5.25
2013M08,5.25
2013M09,5.25
2013M10,5
2013M11,5
2013M12,5
2014M01,5
2014M02,5
2014M03,5
2014M04,4.75
2014M05,4.75
2014M06,4.75
2014M07,4.5
2014M08,4.5
2014M09,4.5
2014M10,4.5
2014M11,4.5
2014M12,4
2015M01,4
2015M02,4
2015M03,3.5
2015M04,3.5
2015M05,3.5
2015M06,3.5
2015M07,3.25
2015M08,3.25
2015M09,3.25
2015M10,3
2015M11,3
2015M12,3
2016M01,3
2016M02,3
2016M03,3
2016M04,3
2016M05,3
2016M06,3
2016M07,3
2016M08,3
2016M09,3
2016M10,3
2016M11,3
2016M12,3
2017M01,3
2017M02,3
2017M03,3
2017M04,3
2017M05,3
2017M06,3
2017M07,3
2017M08,3
2017M09,3
2017M10,3
2017M11,2.75
2017M12,2.75
2018M01,2.75
2018M02,2.75
2018M03,2.75
2018M04,2.75
2018M05,2.75
2018M06,2.75
2018M07,2.75
2018M08,2.75
2018M09,2.75
2018M10,2.75
2018M11,2.75
2018M12,2.75
2019M01,2.75
2019M02,2.75
2019M03,2.75
2019M04,2.75
2019M05,2.75
2019M06,2.75
2019M07,2.75
2019M08,2.75
2019M09,2.75
2019M10,2.75
2019M11,2.75
2019M12,2.75
2020M01,2.75
2020M02,2.75
2020M03,2.75
2020M04,2
2020M05,2
2020M06,2
2020M07,1.75
2020M08,1.75
2020M09,1.75
2020M10,1.75
2020M11,1.75
2020M12,1.75
2021M01,1.75
2021M02,1.75
2021M03,1.75
2021M04,1.75
2021M05,1.75
2021M06,1.75
2021M07,1.75
2021M08,1.75
2021M09,1.75
2021M10,1.75
2021M11,1.75
2021M12,1.75
2022M01,1.75
2022M02,1.75
2022M03,1.75
2022M04,1.75
2022M05,2
2022M06,2.25
2022M07,2.25
2022M08,2.75
2022M09,3
2022M10,3
2022M11,3.75
2022M12,3.75
2023M01,4.25
2023M02,4.5
2023M03,4.5
2023M04,4.75
2023M05,5
2023M06,5
2023M07,5
2023M08,5
2023M09,5
2023M10,5
2023M11,
2023M12,
