,cpi_sub,s,bm,i,cpi
2001M1,101.5054,7.8,11611.1000,5.72,52.71999168
2001M2,102.56437,7.74,11786.1000,6.24,53.1048471
2001M3,103.29289,7.7,11961.7000,5.4,53.39088829
2001M4,103.81782,7.75,11937.8000,4.42,53.61972124
2001M5,104.301056,7.77,11931.5000,5.05,53.78094446
2001M6,105.05825,7.8,11787.0000,4.98,54.17620137
2001M7,105.740425,7.8,12124.5000,4.83,54.64946952
2001M8,107.16067,7.85,12013.1000,4.83,55.33076763
2001M9,107.973755,7.95,12219.0000,4.63,55.50759309
2001M10,108.90098,8.11,12637.2300,4.47,55.92365301
2001M11,109.71497,8.08,12399.4000,4.93,56.31370917
2001M12,110.49046,7.96,13953.2000,4.52,56.64135636
2002M1,112.62706,8.02,13770.7000,4.53,57.38506345
2002M2,113.935875,7.94,13179.0000,4.23,57.88953609
2002M3,114.70657,7.91,14023.2400,5.25,58.26399001
2002M4,115.397446,7.82,13901.7700,4.56,58.5812357
2002M5,115.835495,7.87,13589.6000,4.31,58.78926565
2002M6,116.391975,7.9,13167.8000,4.39,59.12731433
2002M7,116.90482,7.86,13659.7000,4.11,59.62138548
2002M8,117.397995,7.77,13737.9000,4.91,59.60578323
2002M9,117.838646,7.78,12812.8000,4.45,59.44976077
2002M10,118.34456,7.73,13456.0000,4.47,59.61618473
2002M11,118.84373,7.61,15180.7000,5.4,59.88662367
2002M12,119.3521,7.65,16280.5000,2.22,60.22467235
2003M1,120.80117,7.8,14268.8000,1.03,60.9423757
2003M2,121.75279,7.83,15660.8000,4.13,61.36363636
2003M3,122.32575,7.91,14693.8000,1.41,61.62887456
2003M4,122.976295,7.91,16111.7000,0.87,61.90451425
2003M5,123.5094,7.9,14891.1000,0.82,62.06053672
2003M6,124.06946,7.92,14870.4000,1.1,62.22696068
2003M7,124.50622,7.92,15757.7000,1.48,62.39338465
2003M8,124.86682,7.92,15166.9000,1.4,62.56500936
2003M9,125.25152,7.98,14490.6000,1.45,62.82504681
2003M10,125.62713,8.1,16063.3000,1.71,63.09548575
2003M11,125.95718,8.08,15710.8000,1.96,63.38152694
2003M12,126.43961,8.03,17038.4000,1.83,63.75078011
2004M1,128.11227,8.11,15991.3000,1.83,64.72852091
2004M2,129.03287,8.1,16172.9000,1.94,65.20698981
2004M3,129.65968,8.1,16658.2000,1.86,65.67505721
2004M4,130.15791,8.05,16529.9000,1.92,66.02350739
2004M5,130.89682,7.98,16224.5000,2.1,66.56958602
2004M6,131.65363,7.94,16125.6000,2.26,66.83482421
2004M7,132.11655,7.9,15865.1000,2.72,67.15727065
2004M8,132.82349,7.91,16762.5000,2.41,67.35489911
2004M9,133.54968,7.9,16607.8000,2.08,67.88017475
2004M10,134.30539,7.83,16933.0000,2.07,68.54587061
2004M11,135.22697,7.77,16708.0000,2.43,69.22716871
2004M12,135.94865,7.78,19074.2000,2.68,69.63282713
2005M1,138.05606,7.76,17135.4000,2.55,70.57936343
2005M2,139.14626,7.72,18069.3000,2.61,71.09943832
2005M3,139.84258,7.62,18437.0000,2.75,71.43228625
2005M4,140.41011,7.61,18430.1000,2.75,71.8847514
2005M5,141.2552,7.59,18461.7000,2.829545455,72.24360308
2005M6,141.94,7.61,18232.2000,3,72.71687123
2005M7,142.57245,7.59,18929.6000,3.05952381,73.40337009
2005M8,142.9981,7.59,18256.2000,3.336956522,73.66860828
2005M9,143.704,7.62,18528.5000,3.613636364,74.29269815
2005M10,144.81033,7.68,19466.0000,3.75,75.59808612
2005M11,145.65916,7.61,19087.5000,3.840909091,75.62929062
2005M12,146.43095,7.61,21142.5000,4.113636364,75.59808612
2006M1,148.2323,7.62,21155.4000,4.25,76.28458498
2006M2,149.0487,7.61,20922.8000,4.25,76.26378198
2006M3,149.76862,7.62,21110.9000,4.25,76.63303516
2006M4,150.47157,7.59,21519.3490,4.275,77.26232577
2006M5,151.03192,7.58,22026.1000,4.5,77.74599542
2006M6,151.55623,7.61,21924.0000,4.579545455,78.20886208
2006M7,152.17404,7.58,21940.6000,4.785714286,78.56771375
2006M8,152.6714,7.58,22605.2900,5,78.82255045
2006M9,153.13158,7.61,21846.6000,5,78.52610776
2006M10,153.627,7.61,24676.4000,5,78.51050551
2006M11,154.09619,7.61,22866.1000,5,78.95776992
2006M12,154.88002,7.6,25537.7000,5,79.9771167
2007M1,156.63223,7.68,25084.5000,5,81.03286873
2007M2,157.63554,7.7,25350.5000,5,81.31370917
2007M3,158.59338,7.69,25495.3000,5.022727273,82.01581028
2007M4,159.31099,7.66,24833.5000,5.285714286,82.20823799
2007M5,159.9518,7.64,25358.7000,5.5,81.99500728
2007M6,160.66324,7.68,26172.4000,5.5,82.36426045
2007M7,161.41852,7.68,26750.7000,5.5,82.95714583
2007M8,162.32567,7.66,25927.6000,5.5,83.71645517
2007M9,163.13309,7.7,26372.5000,5.525,84.2833368
2007M10,163.83514,7.72,26541.9000,5.75,84.56937799
2007M11,164.97464,7.64,25914.2000,6.011363636,86.16600791
2007M12,166.32372,7.63,28437.9000,6.285714286,86.97212399
2008M1,168.62518,7.7,27588.7000,6.5,87.83024756
2008M2,170.18726,7.72,26936.4000,6.5,88.43873518
2008M3,171.65474,7.64,26584.8000,6.535714286,89.47888496
2008M4,173.03517,7.54,26475.7000,6.75,90.73226545
2008M5,174.52792,7.43,25910.5000,6.75,92.03245267
2008M6,176.0881,7.49,26611.7000,6.75,93.53026836
2008M7,177.89664,7.44,26613.4000,6.880434783,94.70043686
2008M8,178.8411,7.41,26992.6000,7.25,95.17370501
2008M9,179.86006,7.46,27041.8000,7.25,95.02808404
2008M10,181.00076,7.53,26908.7000,7.25,95.50135219
2008M11,181.96272,7.64,27296.4000,7.25,95.51175369
2008M12,182.5902,7.71,28639.9000,7.25,95.14770127
2009M1,183.74861,7.86,27076.9000,7.227272727,94.75244435
2009M2,184.38963,7.95,26920.4000,6.95,94.18556272
2009M3,184.75447,8.08,27259.1000,6.454545455,93.95152902
2009M4,185.11111,8.09,28178.9000,6.113636364,94.01913876
2009M5,185.57555,8.1,28382.5000,5.75,94.14395673
2009M6,186.02003,8.13,28701.4000,5.545454545,94.10755149
2009M7,186.57248,8.18,28602.9000,5.206521739,94.41439567
2009M8,187.02747,8.26,28644.2000,4.75,94.47680466
2009M9,187.66565,8.32,29479.1000,4.636363636,95.05928854
2009M10,188.05669,8.35,29076.1000,4.5,94.87726233
2009M11,188.55624,8.3,29651.6000,4.5,94.92926981
2009M12,188.94713,8.33,31804.3000,4.5,94.88246307
2010M1,190.223,8.37,30666.0000,4.5,96.11
2010M2,190.90393,8.15,29877.1000,4.5,96.53
2010M3,191.7623,8.02,31747.7000,4.5,97.64
2010M4,192.37979,8.01,30409.9000,4.5,97.55
2010M5,192.99484,8,30291.6000,4.5,97.45
2010M6,193.59508,8.01,30718.2000,4.5,97.94
2010M7,194.20598,8.01,30981.1000,4.5,98.3
2010M8,194.69432,8.02,30876.6000,4.5,98.35
2010M9,195.26405,8.08,31093.4000,4.5,98.63
2010M10,195.81108,8.06,31504.5000,4.5,99.15
2010M11,196.3424,8,31771.5000,4.5,99.92
2010M12,197.1595,7.98,34102.9000,4.5,100
