"Variables ->","ln_cpi_sub","ln_s","ln_bm","ln_cpi","ln_ipei","i_star","i","ln_y","ln_y_star","m_ln_y_star","m_ln_ipei","m_i_star","m_ln_y","m_ln_cpi_sub","m_ln_s","m_ln_bm","m_i","m_ln_cpi"
"Comments ->","Inflación subyacente","Tipo de cambio Q/$","Base Monetaria","Inflación total","","Tasa de interés de fondos federales","Tasa de interés","Producto Doméstico","Producto Externo","Producto Externo","","Tasa de interés de fondos federales","Producto Doméstico","Inflación subyacente","Tipo de cambio Q/$","Base Monetaria","Tasa de interés","Inflación total"
"Class[Size] ->","tseries[67-by-1]","tseries[67-by-1]","tseries[67-by-1]","tseries[67-by-1]","tseries[67-by-1]","tseries[67-by-1]","tseries[67-by-1]","tseries[67-by-1]","tseries[67-by-1]","tseries[67-by-1]","tseries[67-by-1]","tseries[67-by-1]","tseries[67-by-1]","tseries[67-by-1]","tseries[67-by-1]","tseries[67-by-1]","tseries[67-by-1]","tseries[67-by-1]"
".endhist","2021Q3","2021Q3","2021Q3","2021Q3","2021Q3","2021Q3","2021Q3","2021Q3","2021Q3","2021Q3","2021Q3","2021Q3","2021Q3","2021Q3","2021Q3","2021Q3","2021Q3","2021Q3"
"2005Q1",493.45676,204.11910,979.09954,370.73518,466.28397,2.66000,2.63667,1128.05393,967.05903,967.05903,466.28397,2.66000,1128.05393,493.45676,204.11910,979.09954,2.63667,370.73518
"2005Q2",495.01800,202.85860,981.87129,372.47232,468.12732,3.13667,2.85985,1125.35004,967.55073,967.55073,468.12732,3.13667,1125.35004,495.01800,202.85860,981.87129,2.85985,372.47232
"2005Q3",496.34791,202.81465,982.92692,374.53492,470.26472,3.62333,3.33671,1123.54617,968.33146,968.33146,470.26472,3.62333,1123.54617,496.34791,202.81465,982.92692,3.33671,374.53492
"2005Q4",498.10827,203.25153,989.74180,376.97313,471.00826,4.04667,3.90152,1127.54751,968.88515,968.88515,471.00826,4.04667,1127.54751,498.10827,203.25153,989.74180,3.90152,376.97313
"2006Q1",500.40484,203.03386,995.52633,378.00619,471.33099,4.66333,4.25000,1132.85217,970.22156,970.22156,471.33099,4.66333,1132.85217,500.40484,203.03386,995.52633,4.25000,378.00619
"2006Q2",501.74074,202.72693,999.06761,379.75083,473.90189,4.98667,4.45152,1128.22461,970.48049,970.48049,473.90189,4.98667,1128.22461,501.74074,202.72693,999.06761,4.45152,379.75083
"2006Q3",502.82034,202.68299,1000.46113,380.90265,475.06384,5.32000,4.92857,1129.95008,970.62980,970.62980,475.06384,5.32000,1129.95008,502.82034,202.68299,1000.46113,4.92857,380.90265
"2006Q4",503.82518,202.90249,1009.96415,381.54582,473.01608,5.26333,5.00000,1135.09617,971.48602,971.48602,473.01608,5.26333,1135.09617,503.82518,202.90249,1009.96415,5.00000,381.54582
"2007Q1",506.01766,203.99202,1013.89362,384.41899,473.90224,5.34667,5.00758,1138.89687,971.78625,971.78625,473.90224,5.34667,1138.89687,506.01766,203.99202,1013.89362,5.00758,384.41899
"2007Q2",507.50137,203.60097,1014.44289,385.31846,476.75182,5.29333,5.42857,1135.30677,972.39601,972.39601,476.75182,5.29333,1135.30677,507.50137,203.60097,1014.44289,5.42857,385.31846
"2007Q3",508.93905,203.86173,1017.91521,387.08107,478.52647,4.94000,5.50833,1135.61336,972.97054,972.97054,478.52647,4.94000,1135.61336,508.93905,203.86173,1017.91521,5.50833,387.08107
"2007Q4",510.61962,203.64333,1020.15014,389.73080,481.65794,4.10667,6.01569,1139.85803,973.59679,973.59679,481.65794,4.10667,1139.85803,510.61962,203.64333,1020.15014,6.01569,389.73080
"2008Q1",513.66876,203.94774,1020.48301,392.80690,484.97957,2.91333,6.51190,1141.78409,973.16904,973.16904,484.97957,2.91333,1141.78409,513.66876,203.94774,1020.48301,6.51190,392.80690
"2008Q2",516.21880,201.31056,1017.84975,396.69426,490.95263,2.27333,6.75000,1140.91759,973.76278,973.76278,490.95263,2.27333,1140.91759,516.21880,201.31056,1017.84975,6.75000,396.69426
"2008Q3",518.66265,200.64189,1019.92091,399.76944,491.87361,2.02000,7.12681,1138.72749,973.23611,973.23611,491.87361,2.02000,1138.72749,518.66265,200.64189,1019.92091,7.12681,399.76944
"2008Q4",520.31825,203.16036,1022.57571,400.21028,479.03898,0.29333,7.25000,1142.67018,971.02304,971.02304,479.03898,0.29333,1142.67018,520.31825,203.16036,1022.57571,7.25000,400.21028
"2009Q1",521.65491,207.47835,1020.67395,399.06006,473.84820,0.20333,6.87727,1141.66326,969.88161,969.88161,473.84820,0.20333,1141.66326,521.65491,207.47835,1020.67395,6.87727,399.06006
"2009Q2",522.34242,209.26846,1025.48527,398.84167,476.26600,0.20333,5.80303,1139.95989,969.70229,969.70229,476.26600,0.20333,1139.95989,522.34242,209.26846,1025.48527,5.80303,398.84167
