"Variables ->","ln_cpi_sub","ln_s","ln_bm","ln_cpi","ln_ipei","i","i_star","ln_y_star","ln_y"
"Comments ->","","","","","","","Federal Funds Effective Rate","Real Gross Domestic Product",""
"Class[Size] ->","tseries[75-by-1]","tseries[75-by-1]","tseries[75-by-1]","tseries[75-by-1]","tseries[75-by-1]","tseries[75-by-1]","Series[75-by-1]","Series[75-by-1]","tseries[75-by-1]"
".endhist","2023Q3","2023Q3","2023Q3","2023Q3","2023Q3","2023Q3","2023Q3","2023Q3","2023Q3"
"2005Q1",493.45676,204.11910,979.09954,426.31891,466.28397,2.63667,2.47000,967.05920,1128.05393
"2005Q2",495.01800,202.85860,981.87129,428.05605,468.12732,2.85985,2.94333,967.55062,1125.35004
"2005Q3",496.34791,202.81465,982.92692,430.11864,470.26472,3.33671,3.46000,968.33138,1123.54617
"2005Q4",498.10827,203.25153,989.74180,432.55685,471.00826,3.90152,3.98000,968.88536,1127.54751
"2006Q1",500.40484,203.03386,995.52633,433.58991,471.33099,4.25000,4.45667,970.22177,1132.85217
"2006Q2",501.74074,202.72693,999.06761,435.33455,473.90189,4.45152,4.90667,970.48019,1128.22461
"2006Q3",502.82034,202.68299,1000.46113,436.48637,475.06384,4.92857,5.24667,970.63003,1129.95008
"2006Q4",503.82518,202.90249,1009.96415,437.12954,473.01608,5.00000,5.24667,971.48581,1135.09617
"2007Q1",506.01766,203.99202,1013.89362,440.00272,473.90224,5.00758,5.25667,971.78619,1138.89687
"2007Q2",507.50137,203.60097,1014.44289,440.90218,476.75182,5.42857,5.25000,972.39609,1135.30677
"2007Q3",508.93905,203.86173,1017.91521,442.66480,478.52647,5.50833,5.07333,972.97047,1135.61336
"2007Q4",510.61962,203.64333,1020.15014,445.31452,481.65794,6.01569,4.49667,973.59674,1139.85803
"2008Q1",513.66876,203.94774,1020.48301,448.39062,484.97957,6.51190,3.17667,973.16906,1141.78409
"2008Q2",516.21880,201.31056,1017.84975,452.27798,490.95263,6.75000,2.08667,973.76272,1140.91759
"2008Q3",518.66265,200.64189,1019.92091,455.35316,491.87361,7.12681,1.94000,973.23608,1138.72749
"2008Q4",520.31825,203.16036,1022.57571,455.79401,479.03898,7.25000,0.50667,971.02274,1142.67018
"2009Q1",521.65491,207.47835,1020.67395,454.64378,473.84820,6.87727,0.18333,969.88138,1141.66326
"2009Q2",522.34242,209.26846,1025.48527,454.42539,476.26600,5.80303,0.18000,969.70256,1139.95989
"2009Q3",523.15791,211.05930,1027.18022,455.01829,478.39187,4.86430,0.15667,970.05314,1140.10337
"2009Q4",523.92023,211.94602,1031.41000,455.27850,480.29973,4.50000,0.12000,971.12826,1144.85779
"2010Q1",525.20747,210.15367,1033.37777,457.22115,482.08065,4.50000,0.13333,971.61159,1144.63700
"2010Q2",526.26346,208.02744,1032.45866,458.13532,482.88633,4.50000,0.19333,972.57452,1143.04185
"2010Q3",527.15676,208.40070,1034.12125,458.93107,482.47427,4.50000,0.18667,973.34265,1141.89136
"2010Q4",528.03411,208.10978,1038.71161,460.20580,485.23380,4.50000,0.18667,973.86639,1148.05262
"2011Q1",529.56624,205.78772,1043.62698,462.14138,489.76767,4.50000,0.15667,973.62890,1148.54381
"2011Q2",531.12551,203.98781,1043.85147,464.14291,493.81473,4.75000,0.09333,974.30320,1147.44653
"2011Q3",532.47203,205.58195,1042.45313,465.98126,493.55452,4.91667,0.08333,974.28089,1147.46804
"2011Q4",533.55672,205.66807,1046.60516,466.31545,492.86588,5.50000,0.07333,975.39768,1151.61094
"2012Q1",534.67593,205.06901,1049.20403,467.06712,493.52192,5.50000,0.10333,976.23277,1152.28897
"2012Q2",535.85244,205.28239,1047.76254,467.95038,493.02138,5.50000,0.15333,976.67811,1150.09177
"2012Q3",537.12062,206.59836,1048.08090,468.88911,491.98969,5.00000,0.14333,976.82204,1149.94572
"2012Q4",538.26880,206.43274,1056.28858,469.56474,492.61967,5.00000,0.16000,976.93761,1155.10812
"2013Q1",539.53498,205.96545,1057.41630,471.11064,493.06152,5.00000,0.14333,977.91934,1155.17580
"2013Q2",540.57292,205.45497,1058.55720,472.25314,492.08772,5.25000,0.11667,978.18662,1154.44398
"2013Q3",541.33628,206.47313,1058.00543,473.24765,491.85772,5.25000,0.08333,979.03441,1153.63686
"2013Q4",542.07020,206.76928,1062.10762,473.86176,491.15101,5.00000,0.08667,979.90237,1157.91808
"2014Q1",542.84015,205.15349,1057.59359,474.67550,492.26837,5.00000,0.07333,979.55668,1159.25706
"2014Q2",543.64888,204.89751,1061.46650,475.41022,492.36723,4.75000,0.09333,980.84025,1158.66413
"2014Q3",544.32749,204.98298,1063.15606,476.70884,491.55618,4.50000,0.09000,982.04831,1157.85492
"2014Q4",544.93113,203.20861,1067.02204,477.12774,488.04941,4.33333,0.10000,982.55277,1162.77205
"2015Q1",545.59955,203.33970,1071.07768,477.04280,483.42570,3.83333,0.11000,983.44922,1163.82077
"2015Q2",546.40202,203.81824,1075.60149,477.88405,483.46267,3.50000,0.12333,984.06672,1161.74423
"2015Q3",547.15267,203.64522,1075.87343,478.74084,481.57569,3.25000,0.13667,984.46616,1162.65631
"2015Q4",547.79224,203.44789,1080.23493,479.69677,479.32325,3.00000,0.16000,984.65047,1166.37966
"2016Q1",548.42362,203.80820,1080.45597,481.25623,476.94067,3.00000,0.36000,985.22832,1165.48317
"2016Q2",549.07522,203.81277,1083.96586,482.08660,478.54776,3.00000,0.37333,985.54893,1165.37913
"2016Q3",549.67505,202.21836,1084.98229,483.27568,479.25454,3.00000,0.39667,986.25582,1164.70482
"2016Q4",550.28013,201.52156,1090.02507,484.15046,479.71172,3.00000,0.45000,986.80858,1169.58993
"2017Q1",551.00125,200.56059,1092.20422,485.10895,480.62265,3.00000,0.70000,987.29429,1170.09038
"2017Q2",551.52199,199.33693,1095.31356,486.13236,480.68768,3.00000,0.95000,987.85260,1167.83577
