,ln_y_star,ln_ipei,i_star,ln_y,ln_cpi_sub,ln_s,ln_bm,i ,ln_cpi
.endhist,2023Q4,2023Q4,2023Q4,2023Q3,2023Q4,2023Q4,2023Q4,2023Q4,2023Q4
2005Q1,967.0590339,466.2839672,2.66,1128.129911,493.4567602,204.1191023,979.0995406,2.636666667,426.3189064
2005Q2,967.5507323,468.1273213,3.136666667,1125.365332,495.0180038,202.8585978,981.8712871,2.859848485,428.0560457
2005Q3,968.3314585,470.2647203,3.623333333,1123.374454,496.3479088,202.8146518,982.9269169,3.336705565,430.118643
2005Q4,968.885146,471.00826,4.046666667,1127.623206,498.1082725,203.2515297,989.7418031,3.901515152,432.5568528
2006Q1,970.2215565,471.3309878,4.663333333,1132.92814,500.4048435,203.0338637,995.5263332,4.25,433.5899095
2006Q2,970.480488,473.9018935,4.986666667,1128.23996,501.740736,202.7269321,999.0676121,4.451515152,435.334549
2006Q3,970.6298013,475.0638399,5.32,1129.778361,502.8203439,202.6829857,1000.46113,4.928571429,436.486371
2006Q4,971.4860156,473.0160843,5.263333333,1135.171889,503.8251786,202.9024864,1009.964147,5,437.1295383
2007Q1,971.7862545,473.902238,5.346666667,1138.97282,506.01766,203.992022,1013.893618,5.007575758,440.0027174
2007Q2,972.3960089,476.7518194,5.293333333,1135.322171,507.501374,203.6009711,1014.442889,5.428571429,440.9021828
2007Q3,972.9705431,478.526471,4.94,1135.441622,508.9390497,203.8617287,1017.915211,5.508333333,442.6647965
2007Q4,973.5967905,481.6579393,4.106666667,1139.93381,510.6196151,203.6433271,1020.150143,6.015692641,445.3145217
2008Q1,973.1690419,484.9795656,2.913333333,1141.860005,513.6687625,203.9477432,1020.483009,6.511904762,448.3906225
2008Q2,973.7627754,490.9526301,2.273333333,1140.932837,516.2188012,201.3105613,1017.849748,6.75,452.2779801
2008Q3,973.2361096,491.8736066,2.02,1138.555759,518.6626505,200.6418901,1019.920909,7.126811594,455.3531593
2008Q4,971.023042,479.0389752,0.293333333,1142.74587,520.3182453,203.1603611,1022.575706,7.25,455.7940052
2009Q1,969.8816087,473.8482032,0.203333333,1141.73925,521.6549134,207.4783469,1020.673953,6.877272727,454.643785
2009Q2,969.7022882,476.2659984,0.203333333,1139.975132,522.3424224,209.2684572,1025.485266,5.803030303,454.4256961
2009Q3,970.0532583,478.3918739,0.133333333,1139.931683,523.1579074,211.0592998,1027.180216,4.864295125,455.0182899
2009Q4,971.1285342,480.2997307,0.096666667,1144.93356,523.9202339,211.946017,1031.409999,4.5,455.2785021
2010Q1,971.6115262,482.0806455,0.113333333,1144.712776,525.2074657,210.1536745,1033.377766,4.5,457.2211485
2010Q2,972.5747485,482.8863256,0.16,1143.056923,526.2634568,208.0274355,1032.45866,4.5,458.135318
2010Q3,973.3428503,482.4742716,0.18,1141.719416,527.1567611,208.4007018,1034.121246,4.5,458.9310682
2010Q4,973.8665974,485.2338007,0.176666667,1148.12814,528.0341146,208.1097837,1038.711611,4.5,460.2057969
2011Q1,973.6287094,489.7676733,0.143333333,1148.619773,529.5662427,205.7877247,1043.62698,4.5,462.1413599
2011Q2,974.30312,493.8147315,0.086666667,1147.461796,531.125507,203.9878118,1043.851467,4.75,464.1429114
2011Q3,974.2808107,493.554523,0.083333333,1147.296353,532.4720317,205.5819459,1042.453128,4.916666667,465.981262
2011Q4,975.3977754,492.8658793,0.076666667,1151.686725,533.5567224,205.6680743,1046.605161,5.5,466.3154465
2012Q1,976.2327133,493.5219219,0.1,1152.312066,534.6759258,205.0690055,1049.204034,5.5,467.0671245
2012Q2,976.6779692,493.0213775,0.136666667,1150.139234,535.8524408,205.2823853,1047.762535,5.5,467.9503799
2012Q3,976.8223231,491.9896871,0.116666667,1149.744885,537.1206162,206.5983623,1048.0809,5,468.8891065
2012Q4,976.937885,492.6196729,0.143333333,1155.231936,538.2687979,206.4327367,1056.288585,5,469.5647369
2013Q1,977.9193365,493.0615227,0.126666667,1155.175799,539.5349798,205.9654536,1057.416305,5,471.1106418
2013Q2,978.1867791,492.0877157,0.1,1154.443984,540.5729175,205.4549716,1058.557199,5.25,472.2531387
2013Q3,979.034685,491.8577215,0.073333333,1153.636859,541.3362767,206.4731322,1058.005435,5.25,473.2476474
2013Q4,979.9021082,491.1510057,0.07,1157.918084,542.0702027,206.7692789,1062.107624,5,473.8617633
2014Q1,979.556821,492.26837,0.063333333,1159.257058,542.8401457,205.153491,1057.593587,5,474.6755041
2014Q2,980.8401848,492.3672287,0.086666667,1158.664131,543.6488848,204.8975147,1061.466505,4.75,475.4102245
2014Q3,982.0480873,491.5561847,0.073333333,1157.854921,544.3274929,204.9829831,1063.15606,4.5,476.7088406
2014Q4,982.5526011,488.0494085,0.07,1162.772054,544.9311327,203.2086129,1067.022042,4.333333333,477.1297869
2015Q1,983.449111,483.4257016,0.06,1163.820773,545.5995453,203.3397032,1071.077678,3.833333333,477.0416664
2015Q2,984.0664892,483.4626726,0.08,1161.744235,546.4020153,203.8182405,1075.601494,3.5,477.8831976
2015Q3,984.4660689,481.5756852,0.076666667,1162.656305,547.1526674,203.6452208,1075.873431,3.25,478.741553
2015Q4,984.6504417,479.3232546,0.116666667,1166.379656,547.792236,203.4478937,1080.234934,3,479.6977501
2016Q1,985.2283728,476.9406732,0.276666667,1165.483171,548.42362,203.8082046,1080.455966,3,481.2569868
2016Q2,985.5488825,478.5477569,0.296666667,1165.379133,549.075218,203.812773,1083.965861,3,482.0863105
2016Q3,986.2556177,479.2545356,0.296666667,1164.704824,549.6750487,202.2183639,1084.982289,3,483.2749707
2016Q4,986.8088328,479.71172,0.39,1169.589927,550.2801317,201.5215646,1090.025071,3,484.151695
2017Q1,987.2940712,480.622647,0.65,1170.090378,551.0012514,200.5605875,1092.204224,3,485.1082682
2017Q2,987.8523528,480.6876788,0.906666667,1167.835766,551.5219906,199.3369309,1095.313558,3,486.133361
2017Q3,988.6382085,481.2168284,1.066666667,1167.764346,551.9658686,198.7114193,1095.68726,3,487.9319132
2017Q4,989.7590197,482.6348474,1.156666667,1171.62232,552.5442173,199.3206194,1100.735982,2.833333333,488.8937835
2018Q1,990.5690125,483.8842363,1.453333333,1172.729954,553.1698217,199.6780101,1102.753543,2.75,489.3514643
2018Q2,991.0984381,484.9904677,1.766666667,1172.014881,553.7968906,200.7226689,1101.211424,2.75,489.9901713
2018Q3,991.7203063,484.9058683,2,1171.204371,554.51846,202.1044145,1101.657243,2.75,491.3762478
2018Q4,991.8617515,484.0608553,2.266666667,1174.781488,555.0345101,204.3595985,1107.983258,2.75,492.104349
2019Q1,992.4035,483.5173178,2.41,1176.40784,555.4581611,204.3700967,1109.138389,2.75,493.5097077
2019Q2,993.2293644,484.0365588,2.416666667,1175.727032,556.0926217,203.7612367,1111.503614,2.75,494.5789703
2019Q3,994.3554062,483.0940878,2.143333333,1175.168687,556.5895408,203.9166974,1114.513782,2.75,494.3860193
2019Q4,994.994643,482.7264658,1.563333333,1179.17202,557.0576308,204.3629662,1120.958584,2.75,494.8939874
2020Q1,993.6225761,481.8766668,1.083333333,1177.164748,557.5634063,203.8209462,1121.219468,2.75,495.0930243
2020Q2,985.4024162,478.0240376,0.06,1166.279345,557.9951678,204.1367907,1127.686249,2,496.5822044
2020Q3,992.8755609,480.9186866,0.093333333,1173.769553,558.5129416,204.37373,1133.693822,1.75,498.3147167
2020Q4,993.9052553,481.9488506,0.09,1181.46362,559.107936,205.2902472,1141.853198,1.75,499.9728263
2021Q1,995.1825233,486.1657337,0.08,1181.543739,559.9107208,204.7933588,1142.412474,1.75,500.6289029
2021Q2,996.6908262,490.3078286,0.07,1180.600835,560.6313037,204.4245701,1143.585894,1.75,501.2321758
2021Q3,997.5021859,492.2390198,0.09,1181.632028,561.3613054,204.6200615,1145.416591,1.75,501.9483465
2021Q4,999.1846355,494.2638783,0.08,1186.211449,562.580278,204.5033745,1153.617527,1.75,502.899513
2022Q1,998.6858561,498.7445069,0.12,1186.19885,564.3100751,204.1023657,1153.660998,1.75,503.9124445
2022Q2,998.5445348,503.3852625,0.77,1184.961013,566.8615718,203.9820693,1156.849665,2,507.0498449
2022Q3,999.2006543,500.7063884,2.19,1185.342712,569.3843763,204.8596254,1158.44422,2.666666667,510.3407734
2022Q4,999.8343084,498.5253299,3.653333333,1189.654196,571.4563228,206.0391004,1164.714381,3.5,511.8551949
2023Q1,1000.388929,497.3105064,4.516666667,1189.974986,572.9585924,205.7772302,1165.805923,4.416666667,512.9337566
2023Q2,1000.899106,496.1921989,4.99,1188.798762,574.1795609,205.612359,1168.924704,4.916666667,513.4266631
2023Q3,1002.085717,496.4122297,5.26,1189.010216,575.4017322,206.1659073,1169.32245,5,514.8044613
2023Q4,1002.875363,495.6314508,5.33,,576.6793637,205.8143133,1175.361341,5,516.2436245
