"Variables ->","ln_cpi_sub","ln_s","ln_bm","ln_cpi","ln_ipei","i","i_star","ln_y_star","ln_y"
"Comments ->","","","","","","","Federal Funds Effective Rate","Real Gross Domestic Product",""
"Class[Size] ->","tseries[76-by-1]","tseries[76-by-1]","tseries[76-by-1]","tseries[76-by-1]","tseries[76-by-1]","tseries[76-by-1]","Series[76-by-1]","Series[76-by-1]","tseries[76-by-1]"
"2005Q1",4.93456760e+02,2.04119102e+02,9.79099541e+02,4.26318906e+02,4.66283967e+02,2.63666667e+00,2.47000000e+00,9.67059204e+02,1.12805393e+03
"2005Q2",4.95018004e+02,2.02858598e+02,9.81871287e+02,4.28056046e+02,4.68127321e+02,2.85984849e+00,2.94333333e+00,9.67550619e+02,1.12535004e+03
"2005Q3",4.96347909e+02,2.02814652e+02,9.82926917e+02,4.30118643e+02,4.70264720e+02,3.33670557e+00,3.46000000e+00,9.68331377e+02,1.12354617e+03
"2005Q4",4.98108273e+02,2.03251530e+02,9.89741803e+02,4.32556853e+02,4.71008260e+02,3.90151515e+00,3.98000000e+00,9.68885357e+02,1.12754751e+03
"2006Q1",5.00404844e+02,2.03033864e+02,9.95526333e+02,4.33589909e+02,4.71330988e+02,4.25000000e+00,4.45666667e+00,9.70221771e+02,1.13285217e+03
"2006Q2",5.01740736e+02,2.02726932e+02,9.99067612e+02,4.35334549e+02,4.73901894e+02,4.45151515e+00,4.90666667e+00,9.70480189e+02,1.12822461e+03
"2006Q3",5.02820344e+02,2.02682986e+02,1.00046113e+03,4.36486371e+02,4.75063840e+02,4.92857143e+00,5.24666667e+00,9.70630033e+02,1.12995008e+03
"2006Q4",5.03825179e+02,2.02902486e+02,1.00996415e+03,4.37129538e+02,4.73016084e+02,5.00000000e+00,5.24666667e+00,9.71485810e+02,1.13509617e+03
"2007Q1",5.06017660e+02,2.03992022e+02,1.01389362e+03,4.40002717e+02,4.73902238e+02,5.00757576e+00,5.25666667e+00,9.71786194e+02,1.13889687e+03
"2007Q2",5.07501374e+02,2.03600971e+02,1.01444289e+03,4.40902183e+02,4.76751819e+02,5.42857143e+00,5.25000000e+00,9.72396093e+02,1.13530677e+03
"2007Q3",5.08939050e+02,2.03861729e+02,1.01791521e+03,4.42664796e+02,4.78526471e+02,5.50833333e+00,5.07333333e+00,9.72970466e+02,1.13561336e+03
"2007Q4",5.10619615e+02,2.03643327e+02,1.02015014e+03,4.45314522e+02,4.81657939e+02,6.01569264e+00,4.49666667e+00,9.73596737e+02,1.13985803e+03
"2008Q1",5.13668763e+02,2.03947743e+02,1.02048301e+03,4.48390623e+02,4.84979566e+02,6.51190476e+00,3.17666667e+00,9.73169060e+02,1.14178409e+03
"2008Q2",5.16218801e+02,2.01310561e+02,1.01784975e+03,4.52277980e+02,4.90952630e+02,6.75000000e+00,2.08666667e+00,9.73762722e+02,1.14091759e+03
"2008Q3",5.18662650e+02,2.00641890e+02,1.01992091e+03,4.55353159e+02,4.91873607e+02,7.12681159e+00,1.94000000e+00,9.73236080e+02,1.13872749e+03
"2008Q4",5.20318245e+02,2.03160361e+02,1.02257571e+03,4.55794005e+02,4.79038975e+02,7.25000000e+00,5.06666667e-01,9.71022739e+02,1.14267018e+03
"2009Q1",5.21654913e+02,2.07478347e+02,1.02067395e+03,4.54643785e+02,4.73848203e+02,6.87727273e+00,1.83333333e-01,9.69881376e+02,1.14166326e+03
"2009Q2",5.22342422e+02,2.09268457e+02,1.02548527e+03,4.54425391e+02,4.76265998e+02,5.80303030e+00,1.80000000e-01,9.69702565e+02,1.13995989e+03
"2009Q3",5.23157907e+02,2.11059300e+02,1.02718022e+03,4.55018290e+02,4.78391874e+02,4.86429512e+00,1.56666667e-01,9.70053142e+02,1.14010337e+03
"2009Q4",5.23920234e+02,2.11946017e+02,1.03141000e+03,4.55278502e+02,4.80299731e+02,4.50000000e+00,1.20000000e-01,9.71128256e+02,1.14485779e+03
"2010Q1",5.25207466e+02,2.10153674e+02,1.03337777e+03,4.57221149e+02,4.82080646e+02,4.50000000e+00,1.33333333e-01,9.71611587e+02,1.14463700e+03
"2010Q2",5.26263457e+02,2.08027435e+02,1.03245866e+03,4.58135318e+02,4.82886326e+02,4.50000000e+00,1.93333333e-01,9.72574522e+02,1.14304185e+03
"2010Q3",5.27156761e+02,2.08400702e+02,1.03412125e+03,4.58931068e+02,4.82474272e+02,4.50000000e+00,1.86666667e-01,9.73342649e+02,1.14189136e+03
"2010Q4",5.28034115e+02,2.08109784e+02,1.03871161e+03,4.60205797e+02,4.85233801e+02,4.50000000e+00,1.86666667e-01,9.73866385e+02,1.14805262e+03
"2011Q1",5.29566243e+02,2.05787725e+02,1.04362698e+03,4.62141377e+02,4.89767673e+02,4.50000000e+00,1.56666667e-01,9.73628898e+02,1.14854381e+03
"2011Q2",5.31125507e+02,2.03987812e+02,1.04385147e+03,4.64142911e+02,4.93814731e+02,4.75000000e+00,9.33333333e-02,9.74303202e+02,1.14744653e+03
"2011Q3",5.32472032e+02,2.05581946e+02,1.04245313e+03,4.65981262e+02,4.93554523e+02,4.91666667e+00,8.33333333e-02,9.74280887e+02,1.14746804e+03
"2011Q4",5.33556722e+02,2.05668074e+02,1.04660516e+03,4.66315446e+02,4.92865879e+02,5.50000000e+00,7.33333333e-02,9.75397677e+02,1.15161094e+03
"2012Q1",5.34675926e+02,2.05069005e+02,1.04920403e+03,4.67067125e+02,4.93521922e+02,5.50000000e+00,1.03333333e-01,9.76232771e+02,1.15228897e+03
"2012Q2",5.35852441e+02,2.05282385e+02,1.04776254e+03,4.67950380e+02,4.93021378e+02,5.50000000e+00,1.53333333e-01,9.76678112e+02,1.15009177e+03
"2012Q3",5.37120616e+02,2.06598362e+02,1.04808090e+03,4.68889107e+02,4.91989687e+02,5.00000000e+00,1.43333333e-01,9.76822037e+02,1.14994572e+03
"2012Q4",5.38268798e+02,2.06432737e+02,1.05628858e+03,4.69564737e+02,4.92619673e+02,5.00000000e+00,1.60000000e-01,9.76937611e+02,1.15510812e+03
"2013Q1",5.39534980e+02,2.05965454e+02,1.05741630e+03,4.71110642e+02,4.93061523e+02,5.00000000e+00,1.43333333e-01,9.77919337e+02,1.15517580e+03
"2013Q2",5.40572918e+02,2.05454972e+02,1.05855720e+03,4.72253139e+02,4.92087716e+02,5.25000000e+00,1.16666667e-01,9.78186615e+02,1.15444398e+03
"2013Q3",5.41336277e+02,2.06473132e+02,1.05800543e+03,4.73247647e+02,4.91857721e+02,5.25000000e+00,8.33333333e-02,9.79034405e+02,1.15363686e+03
"2013Q4",5.42070203e+02,2.06769279e+02,1.06210762e+03,4.73861763e+02,4.91151006e+02,5.00000000e+00,8.66666667e-02,9.79902369e+02,1.15791808e+03
"2014Q1",5.42840146e+02,2.05153491e+02,1.05759359e+03,4.74675504e+02,4.92268370e+02,5.00000000e+00,7.33333333e-02,9.79556676e+02,1.15925706e+03
"2014Q2",5.43648885e+02,2.04897515e+02,1.06146650e+03,4.75410225e+02,4.92367229e+02,4.75000000e+00,9.33333333e-02,9.80840245e+02,1.15866413e+03
"2014Q3",5.44327493e+02,2.04982983e+02,1.06315606e+03,4.76708841e+02,4.91556185e+02,4.50000000e+00,9.00000000e-02,9.82048310e+02,1.15785492e+03
"2014Q4",5.44931133e+02,2.03208613e+02,1.06702204e+03,4.77127735e+02,4.88049408e+02,4.33333333e+00,1.00000000e-01,9.82552769e+02,1.16277205e+03
"2015Q1",5.45599545e+02,2.03339703e+02,1.07107768e+03,4.77042802e+02,4.83425702e+02,3.83333333e+00,1.10000000e-01,9.83449223e+02,1.16382077e+03
"2015Q2",5.46402015e+02,2.03818240e+02,1.07560149e+03,4.77884054e+02,4.83462673e+02,3.50000000e+00,1.23333333e-01,9.84066718e+02,1.16174423e+03
"2015Q3",5.47152667e+02,2.03645221e+02,1.07587343e+03,4.78740837e+02,4.81575685e+02,3.25000000e+00,1.36666667e-01,9.84466164e+02,1.16265631e+03
"2015Q4",5.47792236e+02,2.03447894e+02,1.08023493e+03,4.79696767e+02,4.79323255e+02,3.00000000e+00,1.60000000e-01,9.84650474e+02,1.16637966e+03
"2016Q1",5.48423620e+02,2.03808205e+02,1.08045597e+03,4.81256226e+02,4.76940673e+02,3.00000000e+00,3.60000000e-01,9.85228320e+02,1.16548317e+03
"2016Q2",5.49075218e+02,2.03812773e+02,1.08396586e+03,4.82086600e+02,4.78547757e+02,3.00000000e+00,3.73333333e-01,9.85548930e+02,1.16537913e+03
"2016Q3",5.49675049e+02,2.02218364e+02,1.08498229e+03,4.83275676e+02,4.79254536e+02,3.00000000e+00,3.96666667e-01,9.86255816e+02,1.16470482e+03
"2016Q4",5.50280132e+02,2.01521565e+02,1.09002507e+03,4.84150463e+02,4.79711720e+02,3.00000000e+00,4.50000000e-01,9.86808584e+02,1.16958993e+03
"2017Q1",5.51001251e+02,2.00560588e+02,1.09220422e+03,4.85108951e+02,4.80622647e+02,3.00000000e+00,7.00000000e-01,9.87294293e+02,1.17009038e+03
"2017Q2",5.51521991e+02,1.99336931e+02,1.09531356e+03,4.86132359e+02,4.80687679e+02,3.00000000e+00,9.50000000e-01,9.87852604e+02,1.16783577e+03
"2017Q3",5.51965869e+02,1.98711419e+02,1.09568726e+03,4.87930487e+02,4.81216828e+02,3.00000000e+00,1.15333333e+00,9.88638036e+02,1.16776435e+03
"2017Q4",5.52544217e+02,1.99320619e+02,1.10073598e+03,4.88891763e+02,4.82634847e+02,2.83333333e+00,1.20333333e+00,9.89758778e+02,1.17162232e+03
"2018Q1",5.53169822e+02,1.99678010e+02,1.10275354e+03,4.89352650e+02,4.83884236e+02,2.75000000e+00,1.44666667e+00,9.90568898e+02,1.17272995e+03
"2018Q2",5.53796891e+02,2.00722669e+02,1.10121142e+03,4.89989326e+02,4.84990468e+02,2.75000000e+00,1.73666667e+00,9.91098319e+02,1.17201488e+03
"2018Q3",5.54518460e+02,2.02104415e+02,1.10165724e+03,4.91374822e+02,4.84905868e+02,2.75000000e+00,1.92333333e+00,9.91720079e+02,1.17120437e+03
"2018Q4",5.55034510e+02,2.04359598e+02,1.10798326e+03,4.92102590e+02,4.84060855e+02,2.75000000e+00,2.22000000e+00,9.91861623e+02,1.17478149e+03
"2019Q1",5.55458161e+02,2.04370097e+02,1.10913839e+03,4.93509708e+02,4.83517318e+02,2.75000000e+00,2.40333333e+00,9.92403255e+02,1.17640784e+03
"2019Q2",5.56092622e+02,2.03761237e+02,1.11150361e+03,4.94578970e+02,4.84036559e+02,2.75000000e+00,2.39666667e+00,9.93229500e+02,1.17572703e+03
"2019Q3",5.56589541e+02,2.03916697e+02,1.11451378e+03,4.94386019e+02,4.83094088e+02,2.75000000e+00,2.19000000e+00,9.94355315e+02,1.17516869e+03
"2019Q4",5.57057631e+02,2.04362966e+02,1.12095858e+03,4.94893987e+02,4.82726466e+02,2.75000000e+00,1.64333333e+00,9.94994586e+02,1.17917202e+03
"2020Q1",5.57563406e+02,2.03820946e+02,1.12121947e+03,4.95093024e+02,4.81876667e+02,2.75000000e+00,1.26000000e+00,9.93622349e+02,1.17716475e+03
"2020Q2",5.57995168e+02,2.04136791e+02,1.12768625e+03,4.96582204e+02,4.78024038e+02,2.00000000e+00,6.00000000e-02,9.85402574e+02,1.16627934e+03
"2020Q3",5.58512942e+02,2.04373730e+02,1.13369382e+03,4.98314717e+02,4.80918687e+02,1.75000000e+00,9.33333333e-02,9.92875488e+02,1.17376955e+03
