"Variables ->","ln_y_star","ln_y_star_sm","ln_ipei","ln_cpi_nosub","ln_y","ln_y_sm","ln_cpi_sub","ln_s","ln_bm","ln_cpi","ln_z","ln_v","ln_ipei_q","d4_ln_y_star","d4_ln_y_star_sm","d4_ln_ipei","i_star","d4_ln_cpi_nosub","d4_ln_y","d4_ln_y_sm","d4_ln_cpi_sub","d4_ln_s","d4_ln_bm","i","d4_ln_cpi","d4_ln_z","d4_ln_v","r","d4_ln_ipei_q","dla_ipei","dla_z","dla_s","dla_cpi_nosub","dla_cpi_sub","dla_cpi","dla_bm","dla_v","dla_ipei_q","dla_y_star","dla_y","s_d4_ln_y_star","s_d4_ln_ipei","s_i_star","s_d4_ln_cpi_nosub","s_d4_ln_y","s_d4_ln_cpi_sub","s_d4_ln_s","s_d4_ln_bm","s_i"
"Comments ->","Producto Interno Bruto Real EEUU (Logaritmo)","Producto Interno Bruto Real EEUU, Suma movil de 4 trimestres (Logaritmo)","Índice de Precios de transables (Logaritmo)","Indice Inflación No subyacente (Logaritmo)","Producto Interno Bruto Real Guatemala (Logaritmo)","Producto Interno Bruto Real Guatemala, Suma movil de 4 trimestres (Logaritmo)","Indice Inflación Subyacente Optima MSE (Logaritmo)","Tipo de Cambio Nominal (Logaritmo)","Base Monetaria (Logaritmo)","Indice de Precios al Consumidor (Logaritmo)","Indice Tipo de Cambio Real (Logaritmo)","Velocidad de circulacion de la Base Monetaria(Logaritmo)","Índice de Precios de Transables GTQ (Logaritmo)","Tasa de Variación Interanual del PIB de EEUU","Tasa de Variación Interanual de la suma de 4 Trimestres del PIB de EEUU","Tasa de Variación Interanual del Índice de Precios de Transables","Tasa de Interes de fondos federales","Inflacion No Subyacente Interanual","Tasa de Variación Interanual del PIB de Guatemala","Tasa de Variación Interanual de la suma de 4 Trimestres del PIB de Guatemala","Inflación Subyacente Optima MSE Interanual","Tasa de Variación Interanual del Tipo de Cambio Nominal","Tasa de Variación Interanual de la Base Monetaria","Tasa de Interes Lider de Politica Monetaria","Inflacion Total Internual","Tasa de Variación Interanual del Tipo de Cambio Real","Tasa de Variación Interanual de la Velocidad de circulacion de la Base Monetaria","Tasa de interes real de Politica Monetaria","Tasa de Variación Interanual del Índice de Precios de Transables en GTQ","Tasa de Variación Intertrimestral Anualizada del Índice de Precios de Transables","Tasa de Variación Intertrimestral Anualizada del Tipo de Cambio Real","Tasa de Variación Intertrimestral Anualizada del Tipo de Cambio Nominal","Inflacion No Subyacente Intertrimestral Anualizada","Inflacion Subyacente Optima MSE Intertrimestral Anualizada","Inflacion Total Intertrimestral Anualizada","Tasa de Variación Intertrimestral Anualizada de la Base Monetaria","Tasa de Variación Intertrimestral Anualizada de la Velocidad de circulacion de la Base Monetaria","Tasa de Variación Intertrimestral Anualizada del Índice de Precios de Transables en GTQ","Tasa de Variación Intertrimestral Anualizada del producto externo","Tasa de Variación Intertrimestral Anualizada del producto doméstico","Shock de crecimiento externo","Shock de precios de transables","Shock de tasa de interes externa","Choque de inflacion no subyacente","Choque de demanda agregada","Choque de inflacion subyacente","Choque cambiario nominal","Choque monetario","Choque de Politica Monetaria"
"Class[Size] ->","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]"
".endhist","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1"
"2004Q1",964.07599,3849.36390,459.04445,-0.13594,1122.94186,4467.88662,487.62260,205.19027,962.22693,365.48120,-0.20588,1.63326,664.23472,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2004Q2",964.24529,3852.16663,460.81682,-0.00000,1120.04924,4472.76691,488.66202,203.80734,964.78265,366.55912,0.00000,-0.00000,664.62416,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2004Q3",964.61314,3855.06861,462.37447,0.00000,1117.92127,4477.76280,489.50068,204.27512,966.41379,367.74083,0.00000,-0.00000,666.64959,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2004Q4",965.10257,3858.03698,463.32025,0.13594,1121.92902,4482.84140,490.82262,205.17117,973.94801,369.62364,0.20588,-1.63326,668.49141,2.96837,NaN,6.75208,2.58891,-0.14781,5.07860,NaN,4.82742,-0.80185,16.74051,2.47988,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2005Q1",967.05920,3861.02020,466.28397,-0.13698,1128.05393,4487.95347,492.87762,204.11910,979.09954,370.73518,0.70744,-4.87225,670.40307,2.98322,2.91407,7.23951,2.66000,-0.00105,5.11207,5.01671,5.25503,-1.07117,16.87261,2.63667,5.25398,0.91332,-6.50551,-3.33989,6.16835,11.85489,2.00624,-4.20826,-1.09168,8.22002,4.44617,20.60611,-12.95598,7.64663,7.82654,24.49964,0.64882,1.06734,0.05301,-0.26161,0.05513,0.08060,-0.24524,0.34223,-0.02444
"2005Q2",967.55062,3864.32553,468.12732,0.20104,1125.35004,4493.25426,494.37418,202.85860,981.87129,372.47232,0.64960,-6.07568,670.98592,3.30533,3.03972,7.31050,3.13667,0.20104,5.30079,5.12184,5.71216,-0.94874,17.08864,2.85985,5.91320,0.64960,-6.07568,-3.41554,6.36175,7.37342,-0.23137,-5.04202,1.35209,5.98623,6.94856,11.08699,-4.81372,2.33140,1.96566,-10.81558,0.96435,0.49289,0.43298,-0.21096,0.05409,0.09176,-0.18978,0.67837,-0.05437
"2005Q3",968.33138,3868.04377,470.26472,0.55750,1123.54617,4498.87916,495.73727,202.81465,982.92692,374.53492,0.19319,-4.65164,673.07937,3.71824,3.24379,7.89025,3.62333,0.55750,5.62490,5.27909,6.23659,-1.46047,16.51313,3.33671,6.79409,0.19319,-4.65164,-3.31676,6.42978,8.54960,-1.82562,-0.17578,1.42584,5.45236,8.25039,4.22252,5.69618,8.37381,3.12303,-7.21548,1.23433,0.78344,0.43352,-0.07588,0.10005,0.16498,-0.63433,0.34748,0.04687
