"Variables ->","ln_y_star","ln_y_star_sm","ln_ipei","ln_cpi_nosub","ln_y","ln_y_sm","ln_cpi_sub","ln_s","ln_bm","ln_cpi","ln_z","ln_v","ln_ipei_q","d4_ln_y_star","d4_ln_y_star_sm","d4_ln_ipei","i_star","d4_ln_cpi_nosub","d4_ln_y","d4_ln_y_sm","d4_ln_cpi_sub","d4_ln_s","d4_ln_bm","i","d4_ln_cpi","d4_ln_z","d4_ln_v","r","d4_ln_ipei_q","dla_ipei","dla_z","dla_s","dla_cpi_nosub","dla_cpi_sub","dla_cpi","dla_bm","dla_v","dla_ipei_q","dla_y_star","dla_y","s_dla_y_star","s_dla_ipei","s_i_star","s_dla_cpi_nosub","s_dla_y","s_dla_cpi_sub","s_dla_s","s_dla_bm","s_i"
"Comments ->","Producto Interno Bruto Real EEUU (Logaritmo)","Producto Interno Bruto Real EEUU, Suma movil de 4 trimestres (Logaritmo)","Índice de Precios de transables (Logaritmo)","Indice Inflación No subyacente (Logaritmo)","Producto Interno Bruto Real Guatemala (Logaritmo)","Producto Interno Bruto Real Guatemala, Suma movil de 4 trimestres (Logaritmo)","Indice Inflación Subyacente Optima MSE (Logaritmo)","Tipo de Cambio Nominal (Logaritmo)","Base Monetaria (Logaritmo)","Indice de Precios al Consumidor (Logaritmo)","Indice Tipo de Cambio Real (Logaritmo)","Velocidad de circulacion de la Base Monetaria(Logaritmo)","Índice de Precios de Transables GTQ (Logaritmo)","Tasa de Variación Interanual del PIB de EEUU","Tasa de Variación Interanual de la suma de 4 Trimestres del PIB de EEUU","Tasa de Variación Interanual del Índice de Precios de Transables","Tasa de Interes de fondos federales","Inflacion No Subyacente Interanual","Tasa de Variación Interanual del PIB de Guatemala","Tasa de Variación Interanual de la suma de 4 Trimestres del PIB de Guatemala","Inflación Subyacente Optima MSE Interanual","Tasa de Variación Interanual del Tipo de Cambio Nominal","Tasa de Variación Interanual de la Base Monetaria","Tasa de Interes Lider de Politica Monetaria","Inflacion Total Internual","Tasa de Variación Interanual del Tipo de Cambio Real","Tasa de Variación Interanual de la Velocidad de circulacion de la Base Monetaria","Tasa de interes real de Politica Monetaria","Tasa de Variación Interanual del Índice de Precios de Transables en GTQ","Tasa de Variación Intertrimestral Anualizada del Índice de Precios de Transables","Tasa de Variación Intertrimestral Anualizada del Tipo de Cambio Real","Tasa de Variación Intertrimestral Anualizada del Tipo de Cambio Nominal","Inflacion No Subyacente Intertrimestral Anualizada","Inflacion Subyacente Optima MSE Intertrimestral Anualizada","Inflacion Total Intertrimestral Anualizada","Tasa de Variación Intertrimestral Anualizada de la Base Monetaria","Tasa de Variación Intertrimestral Anualizada de la Velocidad de circulacion de la Base Monetaria","Tasa de Variación Intertrimestral Anualizada del Índice de Precios de Transables en GTQ","Tasa de variación Intertrimestral Anualizada del producto externo","Tasa de variación Intertrimestral Anualizada del producto doméstico","Shock de crecimiento externo","Shock de precios de transables","Shock de tasa de interes externa","Choque de inflacion no subyacente","Choque de demanda agregada","Choque de inflacion subyacente","Choque cambiario nominal","Choque monetario","Choque de Politica Monetaria"
"Class[Size] ->","tseries[127-by-1]","tseries[127-by-1]","tseries[127-by-1]","tseries[127-by-1]","tseries[127-by-1]","tseries[127-by-1]","tseries[127-by-1]","tseries[127-by-1]","tseries[127-by-1]","tseries[127-by-1]","tseries[127-by-1]","tseries[127-by-1]","tseries[127-by-1]","tseries[127-by-1]","tseries[127-by-1]","tseries[127-by-1]","tseries[127-by-1]","tseries[127-by-1]","tseries[127-by-1]","tseries[127-by-1]","tseries[127-by-1]","tseries[127-by-1]","tseries[127-by-1]","tseries[127-by-1]","tseries[127-by-1]","tseries[127-by-1]","tseries[127-by-1]","tseries[127-by-1]","tseries[127-by-1]","tseries[127-by-1]","tseries[127-by-1]","tseries[127-by-1]","tseries[127-by-1]","tseries[127-by-1]","tseries[127-by-1]","tseries[127-by-1]","tseries[127-by-1]","tseries[127-by-1]","tseries[127-by-1]","tseries[127-by-1]","tseries[127-by-1]","tseries[127-by-1]","tseries[127-by-1]","tseries[127-by-1]","tseries[127-by-1]","tseries[127-by-1]","tseries[127-by-1]","tseries[127-by-1]","tseries[127-by-1]"
".endhist","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1"
"2000Q1",955.15971,3817.79744,457.88922,0.04294,1112.48149,4445.19105,459.60628,205.06472,928.03668,338.37855,1.09074,-2.93572,662.95395,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2000Q2",955.72592,3819.80147,458.10240,0.03231,1113.32284,4448.41777,460.55581,205.06071,929.89412,339.38185,0.00000,0.00000,663.16311,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2000Q3",955.91352,3821.50307,458.38199,0.26100,1113.90571,4451.41934,461.46554,204.96326,931.22262,341.08271,-0.00000,-0.00000,663.34525,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2000Q4",957.22744,3824.02659,458.86302,-0.33625,1115.18250,4454.89254,462.20423,205.12611,930.12025,341.17304,-1.09074,2.93572,663.98913,NaN,NaN,NaN,5.65881,NaN,NaN,NaN,NaN,NaN,NaN,6.08551,NaN,NaN,NaN,NaN,NaN,1.92412,NaN,0.65141,-2.38897,2.95477,NaN,-4.40947,NaN,NaN,5.25568,5.10715,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2001Q1",955.98064,3824.84752,460.33609,-0.04793,1115.71159,4458.12263,462.89831,204.72486,937.46194,341.57971,-0.09429,-5.83885,665.06095,0.82093,1.76252,2.44687,5.54000,-0.09087,3.23010,3.23290,3.29203,-0.33987,9.42526,5.78667,3.20116,-1.18503,-2.90313,2.40911,2.10700,5.89228,3.98578,-1.60500,1.15329,2.77631,1.62669,29.36675,-35.09829,4.28728,-4.98721,2.11634,-6.00010,6.69789,-0.05859,0.14576,4.88609,-0.33015,-1.97650,18.07835,0.01352
"2001Q2",956.60338,3825.72499,459.09315,-0.43154,1110.50941,4455.30920,464.69001,205.06956,938.30516,343.05221,-3.13460,-7.09027,664.16271,0.87746,1.48088,0.99075,4.28667,-0.46385,-2.81343,1.72286,4.13420,0.00885,8.41104,4.81667,3.67035,-3.13460,-7.09027,-1.42781,0.99960,-4.97177,-12.16125,1.37880,-1.53445,7.16682,5.88998,3.37290,-5.00568,-3.59297,2.49098,-20.80872,-1.20485,-6.70389,-1.16260,-1.96306,-23.75656,4.76329,1.53879,-2.32337,-1.17302
"2001Q3",956.20178,3826.01325,457.73910,-0.89746,1110.21623,4451.61973,466.98384,206.26031,940.24946,345.44256,-4.86415,-7.19802,663.99940,0.28826,1.12754,-0.64289,3.41000,-1.15845,-3.68948,0.05010,5.51830,1.29705,9.02684,4.76333,4.35985,-4.86415,-7.19802,-3.09024,0.65416,-5.41620,-6.91817,4.76299,-1.86367,9.17531,9.56141,7.77720,-0.43098,-0.65321,-1.60639,-1.17268,-3.34345,-4.73524,-0.77518,-1.73111,-5.38392,3.14216,2.32667,-10.74577,-0.46724
"2001Q4",956.47648,3825.26229,455.18158,-1.26076,1117.19312,4453.63035,469.42747,208.56396,947.10900,347.47177,-8.55757,-4.81916,663.74554,-0.75096,0.30892,-3.68144,2.08000,-0.92451,2.01062,-0.31555,7.22325,3.43785,16.98875,4.64000,6.29873,-7.46684,-7.75488,-3.82150,-0.24359,-10.23008,-14.77371,9.21461,-1.45323,9.77454,8.11685,27.43815,9.51543,-1.01547,1.09877,27.90755,-1.71151,-10.15988,-1.21568,-0.81573,25.65394,1.02037,3.52201,11.14177,-0.38587
"2002Q1",957.30928,3826.59093,454.70934,-1.54882,1118.65760,4456.57636,473.01260,207.39932,952.17165,350.19311,-13.16088,-7.48826,662.10865,1.32864,0.43585,-5.62675,1.80667,-1.50090,2.94602,-0.38657,10.11429,2.67446,14.70972,4.67000,8.61340,-13.06659,-1.64941,-7.41058,-2.95230,-1.88897,-18.41322,-4.65857,-1.15224,14.34050,10.88535,20.25061,-10.67639,-6.54754,3.33121,5.85792,1.22949,-2.35409,-0.27050,-1.91814,5.24842,5.18945,-8.88242,5.63505,-0.65575
"2002Q2",957.91968,3827.90723,456.28707,-1.68096,1115.47666,4461.54361,474.77239,206.22018,951.41204,351.88517,-14.87244,-5.14752,662.50725,1.31630,0.54556,-2.80607,1.78000,-1.24942,4.96725,1.55860,10.08238,1.15062,13.10688,4.42000,8.83296,-11.73784,1.94275,-1.94664,-1.65545,6.31095,-6.84623,-4.71655,-0.52854,7.03917,6.76824,-3.03844,9.36296,1.59440,2.44160,-12.72378,0.92463,4.79645,-0.07586,-1.78386,-16.93867,-5.89098,-0.33760,-5.11510,-1.27452
"2002Q3",958.32547,3830.03092,456.92730,-2.27736,1116.06138,4467.38876,476.03407,205.45377,950.27729,353.11289,-15.53272,-2.33046,662.38107,2.12369,1.00442,-0.81180,1.80667,-1.37990,5.84515,3.94226,9.05024,-0.80654,10.02783,4.49000,7.67034,-10.66857,4.86755,-0.27696,-1.61833,2.56091,-2.64111,-3.06564,-2.38559,5.04673,4.91091,-4.53899,11.26822,-0.50472,1.62317,2.33891,-0.12682,0.32499,0.02778,-2.27143,-3.27439,-1.18213,-3.13059,-19.28350,-0.22875
"2002Q4",958.44937,3832.00380,457.09604,-2.80519,1120.18260,4470.37824,477.19848,203.64259,961.08946,353.69836,-19.33550,-8.03914,660.73862,1.97289,1.68538,1.91446,1.40333,-1.54443,2.98948,4.18697,7.77101,-4.92137,13.98046,4.03000,6.22658,-10.77792,-3.21997,-1.08929,-3.00691,0.67494,-15.21112,-7.24472,-2.11133,4.65764,2.34185,43.24867,-22.83468,-6.56978,0.49557,16.48486,-1.46879,-0.47891,-0.37560,-2.02774,14.80583,-0.14510,-9.93891,19.33305,-0.42511
"2003Q1",958.97421,3833.66873,459.18397,-2.22253,1123.11101,4474.83166,479.50536,206.00713,960.66425,356.01217,-16.57119,-5.03468,665.19110,1.66493,1.76945,4.47463,1.34667,-0.67370,4.45341,4.56382,6.49276,-1.39218,8.49260,2.19000,5.81906,-3.41031,2.45358,-6.00508,3.08245,8.35174,11.05722,9.45818,2.33064,9.22751,9.25524,-1.70084,12.01781,17.80991,2.09937,11.71366,-0.16035,6.92370,-0.10795,-0.19278,9.54849,3.39634,10.01155,4.81911,-1.62016
"2003Q2",959.85644,3835.60549,457.91375,-2.52492,1117.80414,4477.15914,480.96386,206.81272,963.43160,357.23267,-18.84469,-8.64813,664.72647,1.93676,1.92457,1.62667,1.34667,-0.84396,2.32748,3.90388,6.19146,0.59255,12.01956,0.93000,5.34750,-3.97225,-3.50061,-4.67858,2.21922,-5.08089,-9.09397,3.22236,-1.20957,5.83398,4.88201,11.06938,-14.45380,-1.85853,3.52891,-21.22751,1.68928,-8.35372,0.03854,0.03966,-23.95074,-1.91516,3.50980,-10.14013,-2.15600
"2003Q3",961.50585,3838.78587,458.28300,-3.33459,1118.28994,4479.38769,482.06199,207.19069,962.44035,358.08359,-18.46801,-6.23705,665.47369,3.18038,2.18874,1.35570,1.07333,-1.05723,2.22856,2.99973,6.02792,1.73692,12.16306,1.44333,4.97069,-2.93530,-3.90658,-3.05058,3.09262,1.47701,1.50668,1.51188,-3.23866,4.39256,3.40366,-3.96498,9.64434,2.98889,6.59767,1.94322,5.13248,-1.32406,-0.34113,-3.17917,-10.46468,-0.40462,0.74871,-29.23880,-0.09942
"2003Q4",962.66003,3842.99653,458.85923,-2.96617,1121.48118,4480.68628,483.03749,208.81468,969.65403,359.37638,-18.23922,-9.46612,667.67391,4.21067,2.74818,1.76319,0.99333,-0.16098,1.29858,2.57701,5.83900,5.17209,8.56457,1.83333,5.67802,1.09628,-1.42698,-2.59532,6.93528,2.30492,0.91519,6.49595,1.47367,3.90198,5.17118,28.85473,-12.91629,8.80087,4.61672,12.76497,3.95533,-0.93437,-0.13441,1.92119,6.02446,-0.53457,6.36942,-7.36770,0.26153
"2004Q1",963.22495,3847.24728,461.15567,-1.93657,1124.74966,4482.32492,485.37311,209.22753,969.71834,362.16587,-17.24684,-6.58238,670.38320,4.25074,3.39464,1.97170,1.04000,0.28596,1.63865,1.87332,5.86775,3.22040,9.05409,1.87667,6.15370,-0.67565,-1.54770,-6.42484,5.19210,9.18577,3.96951,1.65140,4.11839,9.34248,11.15796,0.25723,11.53495,10.83718,2.25968,13.07391,1.07942,7.01653,-0.02614,2.40809,9.57321,4.15752,0.83376,-8.33836,-0.10601
"2004Q2",963.99711,3851.38795,462.79274,-1.55129,1120.51563,4485.03642,486.85660,207.81746,969.84557,364.09904,-18.85370,-6.45787,670.61020,4.14068,3.94562,4.87899,1.14333,0.97363,2.71150,1.96932,5.89274,1.00473,6.41398,2.09333,6.86637,-0.00901,2.19026,-3.58787,5.88373,6.54827,-6.42744,-5.64030,1.54112,5.93396,7.73268,0.50893,0.49804,0.90798,3.08864,-16.93611,1.29100,3.32229,0.05612,1.50713,-19.50778,-2.63307,-2.13777,-15.18192,-0.73919
"2004Q3",964.94079,3854.82289,463.90058,-2.08880,1121.18258,4487.92906,488.30746,206.72844,970.54681,365.57484,-19.55815,-5.20540,670.62902,3.43493,4.00925,5.61758,1.59333,1.24579,2.89264,2.13534,6.24546,-0.46225,8.10646,2.40333,7.49125,-1.09014,1.03164,-3.24420,5.15533,4.43135,-2.81781,-4.35606,-2.15002,5.80344,5.90319,2.80494,5.00987,0.07528,3.77470,2.66778,2.19419,1.20427,0.40603,-2.01812,-5.93502,0.49174,-4.21178,-14.33625,-0.16069
"2004Q4",965.95608,3858.11893,465.31566,-1.36033,1125.93253,4492.38040,490.07597,205.32630,977.22515,368.02070,-22.30964,-5.54741,670.64196,3.29604,3.78060,6.45644,1.92667,1.60584,4.45134,2.92353,7.03848,-3.48838,7.57112,2.39333,8.64432,-4.07042,3.91871,-4.44270,2.96805,5.66035,-11.00596,-5.60857,2.91387,7.07404,9.78344,26.71336,-1.36803,0.05178,4.06116,18.99980,2.66035,2.53918,0.27428,2.67648,13.28587,0.72478,-5.13933,-4.54877,-0.30980
"2005Q1",967.05903,3861.95301,466.28397,-0.87177,1128.05393,4495.68467,492.87762,204.11910,979.09954,370.73518,-24.73149,-5.15479,670.40307,3.83408,3.67643,5.12830,2.66000,1.06480,3.30427,3.33994,7.50452,-5.10843,9.38120,2.63667,8.56931,-7.48465,1.42759,-7.06187,0.01987,3.87321,-9.68740,-4.82879,1.95422,11.20663,10.85794,7.49756,1.57049,-0.95558,4.41183,8.48562,3.08605,0.40323,0.68604,1.24722,4.61184,3.59160,-4.56732,0.71733,-0.33585
"2005Q2",967.55073,3865.50663,468.12732,-0.69559,1125.35004,4500.51908,494.37418,202.85860,981.87129,372.47232,-25.99556,-6.13159,670.98592,3.55362,3.52967,5.33458,3.13667,0.85570,4.83441,3.87066,7.51759,-4.95886,12.02571,2.85985,8.37328,-7.14186,0.32628,-2.99781,0.37572,7.37342,-5.05630,-5.04202,0.70472,5.98623,6.94856,11.08699,-3.90721,2.33140,1.96679,-10.81558,0.73287,5.12621,0.43214,0.05185,-13.93494,-4.30902,-1.07632,3.86259,-0.73249
"2005Q3",968.33146,3868.89730,470.26472,-0.55853,1123.54617,4502.88267,495.73727,202.81465,982.92692,374.53492,-24.53761,-7.79210,673.07937,3.39067,3.51860,6.36414,3.62333,1.53027,2.36359,3.73840,7.42982,-3.91379,12.38011,3.33671,8.96008,-4.97946,-2.58670,-2.01457,2.45035,8.54960,5.83180,-0.17578,0.54826,5.45236,8.25039,4.22252,-6.64205,8.37381,3.12290,-7.21548,1.24855,5.59647,0.43312,-0.31930,-14.35856,-0.28387,2.72230,-4.76433,0.04423
"2005Q4",968.88515,3871.82637,471.00826,0.14811,1127.54751,4504.49764,497.51997,203.25153,989.74180,376.97313,-26.13581,-9.00509,674.25979,2.92907,3.42686,5.69260,4.04667,1.50843,1.61498,3.02931,7.44400,-2.07477,12.51665,3.90152,8.95243,-3.82617,-3.45768,-2.79957,3.61783,2.97416,-6.39280,1.74751,2.82654,7.13077,9.75284,27.25954,-4.85194,4.72167,2.21475,16.00535,0.64322,0.10509,0.42383,2.77628,10.45105,1.08524,1.39916,11.46678,0.38764
