"Variables ->","ln_y_star","ln_y_star_sm","ln_ipei","ln_cpi_nosub","ln_y","ln_y_sm","ln_cpi_sub","ln_s","ln_bm","ln_cpi","ln_z","ln_v","ln_ipei_q","d4_ln_y_star","d4_ln_y_star_sm","d4_ln_ipei","i_star","d4_ln_cpi_nosub","d4_ln_y","d4_ln_y_sm","d4_ln_cpi_sub","d4_ln_s","d4_ln_bm","i","d4_ln_cpi","d4_ln_z","d4_ln_v","r","d4_ln_ipei_q","dla_ipei","dla_z","dla_s","dla_cpi_nosub","dla_cpi_sub","dla_cpi","dla_bm","dla_v","dla_ipei_q","s_d4_ln_y_star","s_d4_ln_ipei","s_i_star","s_d4_ln_cpi_nosub","s_d4_ln_y","s_d4_ln_cpi_sub","s_d4_ln_s","s_d4_ln_bm","s_i"
"Comments ->","Producto Interno Bruto Real EEUU (Logaritmo)","Producto Interno Bruto Real EEUU, Suma movil de 4 trimestres (Logaritmo)","Índice de Precios de transables (Logaritmo)","Indice Inflación No subyacente (Logaritmo)","Producto Interno Bruto Real Guatemala (Logaritmo)","Producto Interno Bruto Real Guatemala, Suma movil de 4 trimestres (Logaritmo)","Indice Inflación Subyacente Optima MSE (Logaritmo)","Tipo de Cambio Nominal (Logaritmo)","Base Monetaria (Logaritmo)","Indice de Precios al Consumidor (Logaritmo)","Indice Tipo de Cambio Real (Logaritmo)","Velocidad de circulacion de la Base Monetaria(Logaritmo)","Índice de Precios de Transables GTQ (Logaritmo)","Tasa de Variación Interanual del PIB de EEUU","Tasa de Variación Interanual de la suma de 4 Trimestres del PIB de EEUU","Tasa de Variación Interanual del Índice de Precios de Transables","Tasa de Interes de fondos federales","Inflacion No Subyacente Interanual","Tasa de Variación Interanual del PIB de Guatemala","Tasa de Variación Interanual de la suma de 4 Trimestres del PIB de Guatemala","Inflación Subyacente Optima MSE Interanual","Tasa de Variación Interanual del Tipo de Cambio Nominal","Tasa de Variación Interanual de la Base Monetaria","Tasa de Interes Lider de Politica Monetaria","Inflacion Total Internual","Tasa de Variación Interanual del Tipo de Cambio Real","Tasa de Variación Interanual de la Velocidad de circulacion de la Base Monetaria","Tasa de interes real de Politica Monetaria","Tasa de Variación Interanual del Índice de Precios de Transables en GTQ","Tasa de Variación Intertrimestral Anualizada del Índice de Precios de Transables","Tasa de Variación Intertrimestral Anualizada del Tipo de Cambio Real","Tasa de Variación Intertrimestral Anualizada del Tipo de Cambio Nominal","Inflacion No Subyacente Intertrimestral Anualizada","Inflacion Subyacente Optima MSE Intertrimestral Anualizada","Inflacion Total Intertrimestral Anualizada","Tasa de Variación Intertrimestral Anualizada de la Base Monetaria","Tasa de Variación Intertrimestral Anualizada de la Velocidad de circulacion de la Base Monetaria","Tasa de Variación Intertrimestral Anualizada del Índice de Precios de Transables en GTQ","Shock de crecimiento externo","Shock de precios de transables","Shock de tasa de interes externa","Choque de inflacion no subyacente","Choque de demanda agregada","Choque de inflacion subyacente","Choque cambiario nominal","Choque monetario","Choque de Politica Monetaria"
"Class[Size] ->","tseries[115-by-1]","tseries[115-by-1]","tseries[115-by-1]","tseries[115-by-1]","tseries[115-by-1]","tseries[115-by-1]","tseries[115-by-1]","tseries[115-by-1]","tseries[115-by-1]","tseries[115-by-1]","tseries[115-by-1]","tseries[115-by-1]","tseries[115-by-1]","tseries[115-by-1]","tseries[115-by-1]","tseries[115-by-1]","tseries[115-by-1]","tseries[115-by-1]","tseries[115-by-1]","tseries[115-by-1]","tseries[115-by-1]","tseries[115-by-1]","tseries[115-by-1]","tseries[115-by-1]","tseries[115-by-1]","tseries[115-by-1]","tseries[115-by-1]","tseries[115-by-1]","tseries[115-by-1]","tseries[115-by-1]","tseries[115-by-1]","tseries[115-by-1]","tseries[115-by-1]","tseries[115-by-1]","tseries[115-by-1]","tseries[115-by-1]","tseries[115-by-1]","tseries[115-by-1]","tseries[115-by-1]","tseries[115-by-1]","tseries[115-by-1]","tseries[115-by-1]","tseries[115-by-1]","tseries[115-by-1]","tseries[115-by-1]","tseries[115-by-1]","tseries[115-by-1]"
".endhist","2025Q1","2025Q1","2025Q1","2025Q1","2025Q1","2025Q1","2025Q1","2025Q1","2025Q1","2025Q1","2025Q1","2025Q1","2025Q1","2025Q1","2025Q1","2025Q1","2025Q1","2025Q1","2025Q1","2025Q1","2025Q1","2025Q1","2025Q1","2025Q1","2025Q1","2025Q1","2025Q1","2025Q1","2025Q1","2025Q1","2025Q1","2025Q1","2025Q1","2025Q1","2025Q1","2025Q1","2025Q1","2025Q1","2025Q1","2025Q1","2025Q1","2025Q1","2025Q1","2025Q1","2025Q1","2025Q1","2025Q1"
"2004Q1",964.28980,3851.48686,461.52096,-0.08102,1120.55191,4471.62304,488.28241,203.21806,966.28182,364.63647,0.20121,NaN,664.73902,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2004Q2",964.79555,3854.08866,462.25730,-0.00000,1122.55820,4476.11917,489.22669,203.12551,965.47642,365.66999,-0.00000,NaN,665.38281,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2004Q3",964.91137,3856.77011,464.43281,0.00000,1120.72605,4480.65218,489.93440,204.08099,968.47074,366.94818,0.00000,NaN,668.51380,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2004Q4",965.51474,3859.51145,464.47118,0.08102,1121.36650,4485.20266,491.41820,203.99937,982.59849,368.68334,-0.20121,630.18622,668.47054,2.74135,NaN,5.45869,2.82651,0.13375,4.55048,NaN,4.72523,0.07280,16.30050,2.48972,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2005Q1",967.05903,3862.28069,467.52449,0.20364,1125.09604,4489.74679,493.47625,203.07764,982.21148,370.11498,0.87048,636.36081,670.60213,2.76923,2.69846,6.00353,2.96000,0.28466,4.54413,4.53094,5.19384,-0.14042,15.92966,2.75000,5.47851,0.66927,-6.19168,-2.98007,5.86311,12.21325,4.28674,-3.68690,0.49047,8.23218,5.72655,-1.54803,24.69838,8.52635,0.32852,1.77346,0.11487,-0.08701,0.00888,0.07791,0.05031,0.64691,-0.02931
"2005Q2",967.55073,3865.03587,468.41965,0.53601,1127.01572,4494.20430,494.91802,202.94632,981.09445,371.89733,0.29184,640.83929,671.36597,2.75518,2.73680,6.16235,3.35000,0.53601,4.45752,4.52128,5.69133,-0.17919,15.61803,3.00000,6.22734,0.29184,-5.46918,-3.05772,5.98316,3.58064,-2.31456,-0.52528,1.32948,5.76708,7.12940,-4.46812,17.91392,3.05536,0.29881,1.55606,0.37658,0.03154,0.01694,0.08827,0.17042,0.89158,-0.07655
"2005Q3",968.33146,3868.45596,471.59832,0.82144,1125.84510,4499.32336,496.20603,203.07764,982.70654,374.04125,-0.10947,639.34459,674.67596,3.42009,2.92146,7.16551,3.93000,0.82144,5.11905,4.66780,6.27163,-1.00335,14.23580,3.61364,7.09307,-0.10947,-2.84512,-2.90840,6.16216,12.71468,-1.60523,0.52528,1.14171,5.15204,8.57568,6.44836,-5.97880,13.23996,0.97161,1.94805,0.53858,0.02846,0.16475,0.17917,-0.42722,0.24980,0.14140
