,IPC
2001M01,30.23975661
2001M02,30.46050654
2001M03,30.62457743
2001M04,30.75583414
2001M05,30.84831046
2001M06,31.0750266
2001M07,31.34648934
2001M08,31.73727637
2001M09,31.83870201
2001M10,32.07735059
2001M11,32.30108361
2001M12,32.48901936
2002M01,32.91560368
2002M02,33.20496506
2002M03,33.41974877
2002M04,33.60171831
2002M05,33.72104259
2002M06,33.91494455
2002M07,34.19833973
2002M08,34.1893904
2002M09,34.0998972
2002M10,34.19535662
2002M11,34.35047819
2002M12,34.54438015
2003M01,34.95604893
2003M02,35.1976806
2003M03,35.34981907
2003M04,35.50792374
2003M05,35.59741696
2003M06,35.69287638
2003M07,35.78833581
2003M08,35.88677834
2003M09,36.0359337
2003M10,36.19105527
2003M11,36.35512616
2003M12,36.56692676
2004M01,37.12775089
2004M02,37.40219675
2004M03,37.67067639
2004M04,37.87054456
2004M05,38.1837708
2004M06,38.33590926
2004M07,38.52086191
2004M08,38.63421998
2004M09,38.93551379
2004M10,39.3173515
2004M11,39.70813853
2004M12,39.94082088
2005M01,40.48374637
2005M02,40.78205708
2005M03,40.97297594
2005M04,41.23250625
2005M05,41.43834064
2005M06,41.70980339
2005M07,42.10357353
2005M08,42.25571199
2005M09,42.61368484
2005M10,43.36244472
2005M11,43.38034336
2005M12,43.36244472
2006M01,43.75621486
2006M02,43.74428243
2006M03,43.95608303
2006M04,44.31703899
2006M05,44.59446795
2006M06,44.85996448
2006M07,45.06579887
2006M08,45.21197112
2006M09,45.04193401
2006M10,45.03298469
2006M11,45.2895319
2006M12,45.87422089
2007M01,46.47979163
2007M02,46.64087941
2007M03,47.04359888
2007M04,47.15397384
2007M05,47.03166644
2007M06,47.24346705
2007M07,47.58354126
2007M08,48.01907489
2007M09,48.34423357
2007M10,48.50830446
2007M11,49.42411834
2007M12,49.88649994
2008M01,50.37871261
2008M02,50.72773614
2008M03,51.32435755
2008M04,52.04328637
2008M05,52.78906314
2008M06,53.64819798
2008M07,54.31939707
2008M08,54.59085982
2008M09,54.50733282
2008M10,54.77879557
2008M11,54.78476178
2008M12,54.57594429
2009M01,54.34922815
2009M02,54.02406947
2009M03,53.88982965
2009M04,53.92861005
2009M05,54.00020462
2009M06,53.97932287
2009M07,54.15532618
2009M08,54.19112347
2009M09,54.52523147
2009M10,54.42082272
2009M11,54.45065379
2009M12,54.42380582
2010M01,55.1278191
2010M02,55.36646767
2010M03,56.00783569
2010M04,55.95115666
2010M05,55.89447762
2010M06,56.17488969
2010M07,56.38669029
2010M08,56.41055515
2010M09,56.57462604
2010M10,56.87293675
2010M11,57.31145349
2010M12,57.35918321
2011M01,57.795113
2011M02,58.23677871
2011M03,58.74153952
2011M04,59.17746931
2011M05,59.47000115
2011M06,59.78547665
2011M07,60.35333257
2011M08,60.71469542
2011M09,60.67454399
2011M10,60.65160032
2011M11,60.78352644
2011M12,60.91545256
2012M01,60.97281175
2012M02,61.27681542
2012M03,61.47757256
2012M04,61.70700929
2012M05,61.78731215
2012M06,61.86187909
2012M07,62.07984398
2012M08,62.36090398
2012M09,62.66490765
2012M10,62.68211541
2012M11,62.67637949
2012M12,63.01479867
2013M01,63.32453826
2013M02,63.84077091
2013M03,64.14477458
2013M04,64.25375703
2013M05,64.42583458
2013M06,64.82734886
2013M07,65.02237008
2013M08,65.11414477
2013M09,65.30343008
2013M10,65.28622232
2013M11,65.57875416
2013M12,65.7795113
2014M01,65.94585293
2014M02,66.07777905
2014M03,66.22691293
2014M04,66.35310313
2014M05,66.50223701
2014M06,66.85786394
2014M07,67.24217047
2014M08,67.52323047
2014M09,67.55764598
2014M10,67.66089251
2014M11,67.79281863
2014M12,67.71825169
2015M01,67.47734312
2015M02,67.6895721
2015M03,67.83297006
2015M04,68.06240679
2015M05,68.20006883
2015M06,68.45244924
2015M07,68.80234025
2015M08,68.8482276
2015M09,68.82528393
2015M10,69.16943903
2015M11,69.49638637
2015M12,69.79465412
2016M01,70.43134106
2016M02,70.58047493
2016M03,70.72387289
2016M04,70.84432718
2016M05,71.17127452
2016M06,71.48675003
2016M07,71.980039
2016M08,72.11196513
2016M09,71.96283125
2016M10,72.46185614
2016M11,72.74291614
2016M12,72.74865206
2017M01,73.12722267
2017M02,73.37386716
2017M03,73.55168062
2017M04,73.74096593
2017M05,73.97040266
2017M06,74.6070896
2017M07,75.7370655
2017M08,75.51336469
2017M09,75.10037857
2017M10,75.50762877
2017M11,76.15578754
2017M12,76.87851325
2018M01,76.57450958
2018M02,76.41963978
2018M03,76.59745325
2018M04,76.63186876
2018M05,76.99323162
2018M06,77.43489733
2018M07,77.71022141
2018M08,78.05437651
2018M09,78.51898589
2018M10,78.78283813
2018M11,78.5534014
2018M12,78.65664793
2019M01,79.71779282
2019M02,79.82677527
2019M03,79.79235976
2019M04,80.2741769
2019M05,80.48640587
2019M06,81.1517724
2019M07,81.10588505
2019M08,80.40610302
2019M09,79.93575771
2019M10,80.49214179
2019M11,80.84776873
2019M12,81.33532179
2020M01,81.14030056
2020M02,80.81335322
2020M03,81.20339566
2020M04,81.78272341
2020M05,81.93759321
2020M06,83.09051279
2020M07,83.44040381
2020M08,83.77308707
2020M09,83.90501319
2020M10,84.79408053
2020M11,85.26442583
2020M12,85.25868992
2021M01,85.39061604
2021M02,85.6602042
2021M03,85.94700011
2021M04,86.03877481
2021M05,86.17643685
2021M06,86.33704256
2021M07,86.62383848
2021M08,86.80165194
2021M09,86.98520133
2021M10,87.30067684
2021M11,87.72513479
