,bm,ln_bm
2001M01,11611.1,935.9716816
2001M02,11786.1,937.467615
2001M03,11961.7,938.9465158
2001M04,11937.8,938.7465115
2001M05,11931.5,938.6937241
2001M06,11787,937.4752508
2001M07,12124.5,940.2983478
2001M08,12013.1,939.3753
2001M09,12219,941.0747396
2001M10,12637.23,944.4402498
2001M11,12399.4,942.5403363
2001M12,13953.2,954.3464152
2002M01,13770.7,953.0298426
2002M02,13179,948.6379933
2002M03,14023.24,954.8471232
2002M04,13901.77,953.9771449
2002M05,13589.6,951.7060073
2002M06,13167.8,948.5529734
2002M07,13659.7,952.2205171
2002M08,13737.9,952.7913716
2002M09,12812.8,945.819995
2002M10,13456,950.7180382
2002M11,15180.7,962.7780163
2002M12,16280.5,969.7723352
2003M01,14268.8,956.5830614
2003M02,15660.8,965.8916054
2003M03,14693.8,959.5180915
2003M04,16111.7,968.7300995
2003M05,14891.1,960.8518998
2003M06,14870.4,960.7127939
2003M07,15757.7,966.5084414
2003M08,15166.9,962.6870701
2003M09,14490.6,958.1255442
2003M10,16063.3,968.4292446
2003M11,15710.8,966.2103653
2003M12,17038.4,974.3224899
2004M01,15991.3,967.9800103
2004M02,16172.9,969.1092281
2004M03,16658.2,972.0657867
2004M04,16529.9,971.2926141
2004M05,16224.5,969.4277724
2004M06,16125.6,968.816335
2004M07,15865.1,967.1877007
2004M08,16762.5,972.6899528
2004M09,16607.8,971.7627744
2004M10,16933,973.701966
2004M11,16708,972.3642926
2004M12,19074.2,985.6091916
2005M01,17135.4,974.8901778
2005M02,18069.3,980.1969645
2005M03,18437,982.2114794
2005M04,18430.1,982.1740477
2005M05,18461.7,982.3453595
2005M06,18232.2,981.0944541
2005M07,18929.6,984.8482113
2005M08,18256.2,981.2260027
2005M09,18528.5,982.7065366
2005M10,19466,987.6424633
2005M11,19087.5,985.678895
2005M12,21142.5,995.9040512
2006M01,21155.4,995.9650471
2006M02,20922.79998,994.8594751
2006M03,21110.9,995.7544774
2006M04,21519.349,997.6707763
2006M05,22026.1,999.9983393
2006M06,21924,999.5337206
2006M07,21940.6,999.6094081
2006M08,22605.29,1002.593923
2006M09,21846.6,999.1800582
2006M10,24676.4,1011.36026
2006M11,22866.1,1003.741074
2006M12,25537.7,1014.791107
2007M01,25084.5,1013.00054
2007M02,25350.5,1014.055373
2007M03,25495.3,1014.62494
2007M04,24833.5,1011.994883
2007M05,25358.7,1014.087715
2007M06,26172.4,1017.24607
2007M07,26750.7,1019.431592
2007M08,25927.6,1016.306332
2007M09,26372.5,1018.007708
2007M10,26541.9,1018.64799
2007M11,25914.2,1016.254636
2007M12,28437.9,1025.547804
2008M01,27588.7,1022.516155
2008M02,26936.4,1020.123381
2008M03,26584.8,1018.80949
2008M04,26475.7,1018.398261
2008M05,25910.5,1016.240357
2008M06,26611.7,1018.910625
2008M07,26613.4,1018.917013
2008M08,26992.6,1020.331803
2008M09,27041.8,1020.51391
2008M10,26908.7,1020.020493
2008M11,27296.4,1021.45101
2008M12,28639.9,1026.255613
2009M01,27076.9,1020.643624
2009M02,26920.4,1020.063964
2009M03,27259.1,1021.314269
2009M04,28178.9,1024.632875
2009M05,28382.5,1025.352804
2009M06,28701.4,1026.470118
2009M07,28602.9,1026.126339
2009M08,28644.2,1026.270626
2009M09,29479.1,1029.143682
2009M10,29076.1,1027.767181
2009M11,29651.6,1029.727137
2009M12,31804.3,1036.735678
2010M01,30666,1033.090983
