,exp_indx_mm,imp_indx_mm,i_star_mm,cpi_sub_mm,s_mm,bm_mm,i_mm,cpi_mm
Comments ->,Indice de precios de importaciones,Indice de precios de exportaciones,Tasa de interés de fondos federales,Inflación subyacente,Tipo de cambio Q/$,Base Monetaria,Tasa de interés,Inflación total
2000M01,99.2,97.8,,,,,,
2000M02,99.6,99.7,,,,,,
2000M03,100,99.9,,,,,,
2000M04,100,98.5,,,,,,
2000M05,100.2,98.8,,,,,,
2000M06,100.1,100.2,,,,,,
2000M07,100,100.2,,,,,,
2000M08,99.8,100.4,,,,,,
2000M09,100.4,101.6,,,,,,
2000M10,100.3,101.2,,,,,,
2000M11,100.3,101.2,,,,,,
2000M12,100.1,100.5,,,,,,
2001M1,100.3,100.5,5.74,101.5054,7.8,11611.1,5.72,30.23975661
2001M2,100.2,99.9,5.59,102.56437,7.74,11786.1,6.24,30.46050654
2001M3,100,98.3,5.29,103.29289,7.7,11961.7,5.4,30.62457743
2001M4,99.9,97.8,4.67,103.81782,7.75,11937.8,4.42,30.75583414
2001M5,99.6,98,4.24,104.301056,7.77,11931.5,5.05,30.84831046
2001M6,99.4,97.6,3.95,105.05825,7.8,11787,4.98,31.0750266
2001M7,99,96.1,3.82,105.740425,7.8,12124.5,4.83,31.34648934
2001M8,98.8,96,3.66,107.16067,7.85,12013.1,4.83,31.73727637
2001M9,99,95.9,2.75,107.973755,7.95,12219,4.63,31.83870201
2001M10,98.3,93.7,2.66,108.90098,8.11,12637.23,4.47,32.07735059
2001M11,97.8,92.3,2.06,109.71497,8.08,12399.4,4.93,32.30108361
2001M12,97.6,91.4,1.52,110.49046,7.96,13953.2,4.52,32.48901936
2002M1,97.5,91.6,1.85,112.62706,8.02,13770.7,4.53,32.91560368
2002M2,97.3,91.6,1.83,113.935875,7.94,13179,4.23,33.20496506
2002M3,97.6,92.8,1.74,114.70657,7.91,14023.24,5.25,33.41974877
2002M4,98,94.3,1.82,115.397446,7.82,13901.77,4.56,33.60171831
2002M5,98,94.4,1.79,115.835495,7.87,13589.6,4.31,33.72104259
2002M6,98,94.1,1.73,116.391975,7.9,13167.8,4.39,33.91494455
2002M7,98.3,94.5,1.76,116.90482,7.86,13659.7,4.11,34.19833973
2002M8,98.5,94.8,1.81,117.397995,7.77,13737.9,4.91,34.1893904
2002M9,98.8,95.5,1.85,117.838646,7.78,12812.8,4.45,34.0998972
2002M10,98.7,95.5,1.82,118.34456,7.73,13456,4.47,34.19535662
2002M11,98.8,94.6,1.23,118.84373,7.61,15180.7,5.4,34.35047819
2002M12,98.6,95.2,1.16,119.3521,7.65,16280.5,2.22,34.54438015
2003M1,98.9,96.9,1.33,120.80117,7.8,14268.8,1.03,34.95604893
2003M2,99.5,98.5,1.33,121.75279,7.83,15660.8,4.13,35.1976806
2003M3,99.7,99.1,1.38,122.32575,7.91,14693.8,1.41,35.34981907
2003M4,99.6,96,1.31,122.976295,7.91,16111.7,0.87,35.50792374
2003M5,99.7,95.3,1.28,123.5094,7.9,14891.1,0.82,35.59741696
2003M6,99.5,96.2,1.45,124.06946,7.92,14870.4,1.1,35.69287638
2003M7,99.4,96.7,1.04,124.50622,7.92,15757.7,1.48,35.78833581
2003M8,99.4,96.7,1.01,124.86682,7.92,15166.9,1.4,35.88677834
2003M9,99.8,96.2,1.17,125.25152,7.98,14490.6,1.45,36.0359337
2003M10,100,96.3,1.03,125.62713,8.1,16063.3,1.71,36.19105527
2003M11,100.5,96.8,1.01,125.95718,8.08,15710.8,1.96,36.35512616
2003M12,100.8,97.5,0.94,126.43961,8.03,17038.4,1.83,36.56692676
2004M1,101.5,99,1.03,128.11227,8.11,15991.3,1.83,37.12775089
2004M2,102.2,99.4,1.04,129.03287,8.1,16172.9,1.94,37.40219675
2004M3,103,100.2,1.05,129.65968,8.1,16658.2,1.86,37.67067639
2004M4,103.7,100.4,1.03,130.15791,8.05,16529.9,1.92,37.87054456
2004M5,104.1,101.9,1.02,130.89682,7.98,16224.5,2.1,38.1837708
2004M6,103.4,101.7,1.38,131.65363,7.94,16125.6,2.26,38.33590926
2004M7,103.9,102.1,1.29,132.11655,7.9,15865.1,2.72,38.52086191
2004M8,103.4,103.6,1.55,132.82349,7.91,16762.5,2.41,38.63421998
2004M9,103.8,104.1,1.94,133.54968,7.9,16607.8,2.08,38.93551379
2004M10,104.4,105.8,1.79,134.30539,7.83,16933,2.07,39.3173515
2004M11,104.7,105.5,2.02,135.22697,7.77,16708,2.43,39.70813853
2004M12,104.8,104,1.97,135.94865,7.78,19074.2,2.68,39.94082088
2005M1,105.6,104.6,2.5,138.05606,7.76,17135.4,2.55,40.48374637
2005M2,105.7,105.5,2.52,139.14626,7.72,18069.3,2.61,40.78205708
2005M3,106.4,107.8,2.96,139.84258,7.62,18437,2.75,40.97297594
2005M4,106.9,108.8,2.97,140.41011,7.61,18430.1,2.75,41.23250625
2005M5,106.7,107.9,3.09,141.2552,7.59,18461.7,2.829545455,41.43834064
2005M6,106.7,109.2,3.35,141.94,7.61,18232.2,3,41.70980339
2005M7,106.8,110.5,3.31,142.57245,7.59,18929.6,3.05952381,42.10357353
2005M8,106.6,112.1,3.63,142.9981,7.59,18256.2,3.336956522,42.25571199
2005M9,107.5,114.4,3.93,143.704,7.62,18528.5,3.613636364,42.61368484
2005M10,108.3,114.5,4.02,144.81033,7.68,19466,3.75,43.36244472
2005M11,107.6,112.3,4.03,145.65916,7.61,19087.5,3.840909091,43.38034336
2005M12,107.7,112.3,4.09,146.43095,7.61,21142.5,4.113636364,43.36244472
2006M1,108.5,113.7,4.47,148.2323,7.62,21155.4,4.25,43.75621486
2006M2,108.6,112.8,4.52,149.0487,7.61,20922.8,4.25,43.74428243
2006M3,108.8,112.7,5,149.76862,7.62,21110.9,4.25,43.95608303
2006M4,109.6,115.1,4.86,150.47157,7.59,21519.349,4.275,44.31703899
2006M5,110.4,117.2,5.05,151.03192,7.58,22026.1,4.5,44.59446795
2006M6,111.2,117.3,5.05,151.55623,7.61,21924,4.579545455,44.85996448
2006M7,111.6,118.2,5.31,152.17404,7.58,21940.6,4.785714286,45.06579887
2006M8,112.1,118.8,5.31,152.6714,7.58,22605.29,5,45.21197112
2006M9,111.7,116.2,5.34,153.13158,7.61,21846.6,5,45.04193401
2006M10,111.4,113.3,5.31,153.627,7.61,24676.4,5,45.03298469
2006M11,111.8,113.8,5.31,154.09619,7.61,22866.1,5,45.2895319
2006M12,112.5,115.1,5.17,154.88002,7.6,25537.7,5,45.87422089
