,s,ln_s
2001M01,7.8,205.4123734
2001M02,7.74,204.6401688
2001M03,7.7,204.1220329
2001M04,7.75,204.7692843
2001M05,7.77,205.0270164
2001M06,7.8,205.4123734
2001M07,7.8,205.4123734
2001M08,7.85,206.0513532
2001M09,7.95,207.3171929
2001M10,8.11,209.3097868
2001M11,8.08,208.9391873
2001M12,7.96,207.4429
2002M01,8.02,208.1938422
2002M02,7.94,207.1913275
2002M03,7.91,206.8127782
2002M04,7.82,205.6684555
2002M05,7.87,206.3058062
2002M06,7.9,206.6862759
2002M07,7.86,206.1786606
2002M08,7.77,205.0270164
2002M09,7.78,205.1556338
2002M10,7.73,204.5108863
2002M11,7.61,202.9463172
2002M12,7.65,203.4705648
2003M01,7.8,205.4123734
2003M02,7.83,205.796251
2003M03,7.91,206.8127782
2003M04,7.91,206.8127782
2003M05,7.9,206.6862759
2003M06,7.92,206.9391206
2003M07,7.92,206.9391206
2003M08,7.92,206.9391206
2003M09,7.98,207.6938411
2003M10,8.1,209.1864062
2003M11,8.08,208.9391873
2003M12,8.03,208.3184528
2004M01,8.11,209.3097868
2004M02,8.1,209.1864062
2004M03,8.1,209.1864062
2004M04,8.05,208.5672091
2004M05,7.98,207.6938411
2004M06,7.94,207.1913275
2004M07,7.9,206.6862759
2004M08,7.91,206.8127782
2004M09,7.9,206.6862759
2004M10,7.83,205.796251
2004M11,7.77,205.0270164
2004M12,7.78,205.1556338
2005M01,7.76,204.8982334
2005M02,7.72,204.3814364
2005M03,7.62,203.077637
2005M04,7.61,202.9463172
2005M05,7.59,202.6831591
2005M06,7.61,202.9463172
2005M07,7.59,202.6831591
2005M08,7.59,202.6831591
2005M09,7.62,203.077637
2005M10,7.68,203.8619547
2005M11,7.61,202.9463172
2005M12,7.61,202.9463172
2006M01,7.62,203.077637
2006M02,7.61,202.9463172
2006M03,7.62,203.077637
2006M04,7.59,202.6831591
2006M05,7.58,202.55132
2006M06,7.61,202.9463172
2006M07,7.58,202.55132
2006M08,7.58,202.55132
2006M09,7.61,202.9463172
2006M10,7.61,202.9463172
2006M11,7.61,202.9463172
2006M12,7.6,202.8148247
2007M01,7.68,203.8619547
2007M02,7.7,204.1220329
2007M03,7.69,203.9920784
2007M04,7.66,203.6011984
2007M05,7.64,203.3397603
2007M06,7.68,203.8619547
2007M07,7.68,203.8619547
2007M08,7.66,203.6011984
2007M09,7.7,204.1220329
2007M10,7.72,204.3814364
2007M11,7.64,203.3397603
2007M12,7.63,203.2087845
2008M01,7.7,204.1220329
2008M02,7.72,204.3814364
2008M03,7.64,203.3397603
2008M04,7.54,202.0222182
2008M05,7.43,200.5525859
2008M06,7.49,201.3568798
2008M07,7.44,200.6870849
2008M08,7.41,200.2830439
2008M09,7.46,200.9555414
2008M10,7.53,201.8895042
2008M11,7.64,203.3397603
2008M12,7.71,204.2518188
2009M01,7.86,206.1786606
2009M02,7.95,207.3171929
2009M03,8.08,208.9391873
