Fecha,Índice,Variaciones Intermensuales MSE 2024,Combinación Lineal Óptima MSE 2024 B
01/01/2001,101.506546,1.5065432,
01/02/2001,102.51536,0.9938359,
01/03/2001,103.2149,0.6823778,
01/04/2001,103.7479,0.5164027,
01/05/2001,104.170235,0.40707588,
01/06/2001,104.86879,0.670588,
01/07/2001,105.542336,0.6422758,
01/08/2001,106.884094,1.2712955,
01/09/2001,107.62554,0.6936908,
01/10/2001,108.54338,0.85281134,
01/11/2001,109.319534,0.715065,
01/12/2001,110.10112,0.7149577,10.101116
01/01/2002,112.206764,1.9124627,10.541403
01/02/2002,113.49183,1.1452675,10.707151
01/03/2002,114.240265,0.6594658,10.6819515
01/04/2002,114.854225,0.53743124,10.705101
01/05/2002,115.28049,0.37113428,10.665476
01/06/2002,115.83188,0.47830343,10.454106
01/07/2002,116.34473,0.44275522,10.23513
01/08/2002,116.81386,0.40322542,9.290218
01/09/2002,117.20012,0.33066273,8.896196
01/10/2002,117.64063,0.3758669,8.381212
01/11/2002,118.15416,0.43652058,8.081472
01/12/2002,118.66802,0.43491125,7.7809453
01/01/2003,120.11754,1.2214899,7.0501804
01/02/2003,121.03955,0.7675886,6.65046
01/03/2003,121.58003,0.44653416,6.424856
01/04/2003,122.17096,0.48604012,6.370449
01/05/2003,122.67965,0.4163742,6.418395
01/06/2003,123.2134,0.43507814,6.3726187
01/07/2003,123.66341,0.3652215,6.2905073
01/08/2003,124.02862,0.2953291,6.176293
01/09/2003,124.43507,0.32770634,6.1731577
01/10/2003,124.82058,0.30981302,6.103289
01/11/2003,125.213036,0.3144145,5.9742928
01/12/2003,125.74182,0.42231083,5.961001
01/01/2004,127.41776,1.3328433,6.077564
01/02/2004,128.29037,0.68484545,5.9904575
01/03/2004,128.95015,0.5142808,6.0619473
01/04/2004,129.45174,0.3889799,5.959499
01/05/2004,130.15378,0.5423188,6.0923934
01/06/2004,130.80048,0.49687624,6.1576724
01/07/2004,131.3042,0.3851056,6.178701
01/08/2004,132.02621,0.5498767,6.4481854
01/09/2004,132.78171,0.57222843,6.7076325
01/10/2004,133.56117,0.5870223,7.0025206
01/11/2004,134.44328,0.6604552,7.37164
01/12/2004,135.17592,0.5449414,7.5027466
01/01/2005,137.2624,1.5435338,7.726276
01/02/2005,138.36516,0.80338717,7.8531146
01/03/2005,139.00891,0.46526194,7.8005075
01/04/2005,139.54875,0.3883481,7.799828
01/05/2005,140.31145,0.54653883,7.804358
01/06/2005,141.02637,0.50952435,7.817936
01/07/2005,141.67673,0.46116114,7.899618
01/08/2005,142.1315,0.32099485,7.6539993
01/09/2005,142.85321,0.50777197,7.585013
01/10/2005,144.02336,0.8191228,7.8332543
01/11/2005,144.79004,0.5323291,7.6959968
01/12/2005,145.52367,0.50668716,7.6550245
01/01/2006,147.42,1.3031125,7.400131
01/02/2006,148.13472,0.48482418,7.0607066
01/03/2006,148.85318,0.485003,7.081759
01/04/2006,149.56708,0.4796028,7.1790814
01/05/2006,150.11261,0.36474466,6.985295
01/06/2006,150.72707,0.40932894,6.8786383
01/07/2006,151.3424,0.40824413,6.8223476
01/08/2006,151.82812,0.32093525,6.822288
01/09/2006,152.19937,0.2445221,6.542492
01/10/2006,152.66963,0.30897856,6.00338
01/11/2006,153.17325,0.32987595,5.7899117
01/12/2006,154.00319,0.54183006,5.8269024
01/01/2007,155.75664,1.1385798,5.6550264
01/02/2007,156.76083,0.6447196,5.823159
01/03/2007,157.741,0.62526464,5.9708595
01/04/2007,158.3836,0.40738583,5.8946967
01/05/2007,158.86218,0.3021598,5.8286786
01/06/2007,159.57806,0.45063496,5.872202
01/07/2007,160.4748,0.56194067,6.034255
01/08/2007,161.44832,0.6066561,6.336236
01/09/2007,162.22974,0.48400164,6.590283
01/10/2007,163.00113,0.4754901,6.7672253
01/11/2007,164.28209,0.7858634,7.2524667
01/12/2007,165.49956,0.7410884,7.465017
01/01/2008,167.78448,1.3806224,7.722211
01/02/2008,169.34294,0.928843,8.026314
01/03/2008,170.82788,0.8768797,8.296442
01/04/2008,172.19429,0.7998705,8.719767
01/05/2008,173.67989,0.8627415,9.3274
01/06/2008,175.2335,0.8945346,9.810519
01/07/2008,176.95319,0.98136663,10.268521
01/08/2008,177.91626,0.54425,10.20013
01/09/2008,178.82147,0.50878525,10.22731
01/10/2008,179.94048,0.6257653,10.392165
01/11/2008,180.79384,0.47425032,10.050858
01/12/2008,181.27634,0.26687384,9.532822
01/01/2009,182.26933,0.5477786,8.633005
01/02/2009,182.67946,0.22500753,7.8754544
01/03/2009,183.0179,0.18526316,7.135844
01/04/2009,183.3522,0.1826644,6.4798355
01/05/2009,183.777,0.23168325,5.8136344
01/06/2009,184.17564,0.21692514,5.10298
01/07/2009,184.65747,0.2616167,4.353857
01/08/2009,185.06693,0.2217412,4.0191174
01/09/2009,185.63206,0.30536652,3.8085938
01/10/2009,185.93036,0.16069412,3.3288121
01/11/2009,186.3526,0.2270937,3.074646
01/12/2009,186.69626,0.18441677,2.9898643
01/01/2010,188.05405,0.72727203,3.1737208
01/02/2010,188.76413,0.37759542,3.330791
01/03/2010,189.73293,0.51323175,3.6690593
01/04/2010,190.31842,0.30858517,3.799367
01/05/2010,190.85828,0.2836585,3.85319
01/06/2010,191.40466,0.2862811,3.9250731
01/07/2010,191.99081,0.30623674,3.9713264
01/08/2010,192.47092,0.25006533,4.0007114
01/09/2010,193.10437,0.329113,4.025328
01/10/2010,193.62047,0.26726723,4.136014
01/11/2010,194.11964,0.25781393,4.1679263
01/12/2010,194.93187,0.4184127,4.4112325
01/01/2011,196.0497,0.57344437,4.251778
01/02/2011,197.18034,0.5767107,4.4585824
01/03/2011,198.18808,0.51107407,4.4563413
01/04/2011,199.3289,0.5756259,4.734421
01/05/2011,200.17993,0.42694807,4.884076
01/06/2011,200.9548,0.38708448,4.989505
01/07/2011,201.90738,0.47402382,5.165124
01/08/2011,202.86002,0.47181845,5.397749
01/09/2011,203.57285,0.35139322,5.4211497
01/10/2011,204.37665,0.394845,5.555296
01/11/2011,205.0595,0.33410788,5.635619
01/12/2011,205.70279,0.31371117,5.5254817
