,cpi_sub,ln_cpi_sub,mom,MSE
2001M1,101.506546,462.0123289,1.5065432,NaN
2001M2,102.51536,463.0012641,0.9938359,NaN
2001M3,103.2149,463.6813222,0.6823778,NaN
2001M4,103.7479,464.1963918,0.5164027,NaN
2001M5,104.170235,464.6026436,0.40707588,NaN
2001M6,104.86879,465.270995,0.670588,NaN
2001M7,105.542336,465.9112162,0.6422758,NaN
2001M8,106.884094,467.1745014,1.2712955,NaN
2001M9,107.62554,467.865798,0.6936908,NaN
2001M10,108.54338,468.7149909,0.85281134,NaN
2001M11,109.319534,469.4275098,0.715065,NaN
2001M12,110.10112,470.1399216,0.7149577,10.101116
2002M1,112.206764,472.0343276,1.9124627,10.541403
2002M2,113.49183,473.1730852,1.1452675,10.707151
2002M3,114.240265,473.8303818,0.6594658,10.6819515
2002M4,114.854225,474.3663716,0.53743124,10.705101
2002M5,115.28049,474.7368202,0.37113428,10.665476
2002M6,115.83188,475.2139829,0.47830343,10.454106
2002M7,116.34473,475.6557594,0.44275522,10.23513
2002M8,116.81386,476.0581728,0.40322542,9.290218
2002M9,117.20012,476.3882901,0.33066273,8.896196
2002M10,117.64063,476.7634469,0.3758669,8.381212
2002M11,118.15416,477.1990212,0.43652058,8.081472
2002M12,118.66802,477.6329847,0.43491125,7.7809453
2003M1,120.11754,478.8470763,1.2214899,7.0501804
2003M2,121.03955,479.6117352,0.7675886,6.65046
2003M3,121.58003,480.0572729,0.44653416,6.424856
2003M4,122.17096,480.5421375,0.48604012,6.370449
2003M5,122.67965,480.9576486,0.4163742,6.418395
2003M6,123.2134,481.3917811,0.43507814,6.3726187
2003M7,123.66341,481.7563439,0.3652215,6.2905073
2003M8,124.02862,482.0512345,0.2953291,6.176293
2003M9,124.43507,482.3784054,0.32770634,6.1731577
2003M10,124.82058,482.6877346,0.30981302,6.103289
2003M11,125.213036,483.0016575,0.3144145,5.9742928
2003M12,125.74182,483.4230757,0.42231083,5.961001
2004M1,127.41776,484.7471137,1.3328433,6.077564
2004M2,128.29037,485.429621,0.68484545,5.9904575
2004M3,128.95015,485.9425896,0.5142808,6.0619473
2004M4,129.45174,486.3308148,0.3889799,5.959499
2004M5,130.15378,486.8716674,0.5423188,6.0923934
2004M6,130.80048,487.3673109,0.49687624,6.1576724
2004M7,131.3042,487.7516769,0.3851056,6.178701
2004M8,132.02621,488.3000463,0.5498767,6.4481854
2004M9,132.78171,488.8706502,0.57222843,6.7076325
2004M10,133.56117,489.4559575,0.5870223,7.0025206
2004M11,134.44328,490.11424,0.6604552,7.37164
2004M12,135.17592,490.6577041,0.5449414,7.5027466
2005M1,137.2624,492.1894422,1.5435338,7.726276
2005M2,138.36516,492.9896277,0.80338717,7.8531146
2005M3,139.00891,493.4538032,0.46526194,7.8005075
