,bm
2001M01,935.9716816
2001M02,937.467615
2001M03,938.9465158
2001M04,938.7465115
2001M05,938.6937241
2001M06,937.4752508
2001M07,940.2983478
2001M08,939.3753
2001M09,941.0747396
2001M10,944.4402498
2001M11,942.5403363
2001M12,954.3464152
2002M01,953.0298426
2002M02,948.6379933
2002M03,954.8471232
2002M04,953.9771449
2002M05,951.7060073
2002M06,948.5529734
2002M07,952.2205171
2002M08,952.7913716
2002M09,945.819995
2002M10,950.7180382
2002M11,962.7780163
2002M12,969.7723352
2003M01,956.5830614
2003M02,965.8916054
2003M03,959.5180915
2003M04,968.7300995
2003M05,960.8518998
2003M06,960.7127939
2003M07,966.5084414
2003M08,962.6870701
2003M09,958.1255442
2003M10,968.4292446
2003M11,966.2103653
2003M12,974.3224899
2004M01,967.9800103
2004M02,969.1092281
2004M03,972.0657867
2004M04,971.2926141
2004M05,969.4277724
2004M06,968.816335
2004M07,967.1877007
2004M08,972.6899528
2004M09,971.7627744
2004M10,973.701966
2004M11,972.3642926
2004M12,985.6091916
2005M01,974.8901778
2005M02,980.1969645
2005M03,982.2114794
2005M04,982.1740477
2005M05,982.3453595
2005M06,981.0944541
2005M07,984.8482113
2005M08,981.2260027
2005M09,982.7065366
2005M10,987.6424633
2005M11,985.678895
2005M12,995.9040512
2006M01,995.9650471
2006M02,994.8594751
2006M03,995.7544774
2006M04,997.6707763
2006M05,999.9983393
2006M06,999.5337206
2006M07,999.6094081
2006M08,1002.593923
2006M09,999.1800582
2006M10,1011.36026
2006M11,1003.741074
2006M12,1014.791107
2007M01,1013.00054
2007M02,1014.055373
2007M03,1014.62494
2007M04,1011.994883
2007M05,1014.087715
2007M06,1017.24607
2007M07,1019.431592
2007M08,1016.306332
2007M09,1018.007708
2007M10,1018.64799
2007M11,1016.254636
2007M12,1025.547804
2008M01,1022.516155
2008M02,1020.123381
2008M03,1018.80949
2008M04,1018.398261
2008M05,1016.240357
2008M06,1018.910625
2008M07,1018.917013
2008M08,1020.331803
2008M09,1020.51391
2008M10,1020.020493
2008M11,1021.45101
2008M12,1026.255613
2009M01,1020.643624
2009M02,1020.063964
2009M03,1021.314269
2009M04,1024.632875
2009M05,1025.352804
2009M06,1026.470118
2009M07,1026.126339
2009M08,1026.270626
2009M09,1029.143682
2009M10,1027.767181
2009M11,1029.727137
2009M12,1036.735678
2010M01,1033.090983
2010M02,1030.484758
2010M03,1036.557556
2010M04,1032.252349
2010M05,1031.862573
2010M06,1033.261059
2010M07,1034.113262
2010M08,1033.775389
2010M09,1034.475086
2010M10,1035.788567
2010M11,1036.632494
2010M12,1043.71377
2011M01,1044.821013
2011M02,1042.409221
2011M03,1043.650706
2011M04,1046.217148
2011M05,1040.382638
2011M06,1044.954614
2011M07,1042.328977
2011M08,1044.442134
2011M09,1040.588274
2011M10,1040.777787
2011M11,1046.084937
2011M12,1052.952758
2012M01,1047.756963
2012M02,1049.463246
2012M03,1050.391893
2012M04,1048.709885
2012M05,1045.217239
2012M06,1049.360483
2012M07,1049.928372
2012M08,1046.917629
2012M09,1047.396697
2012M10,1052.54797
2012M11,1053.829827
2012M12,1062.487957
2013M01,1055.495039
2013M02,1053.802792
2013M03,1062.951084
2013M04,1059.406894
2013M05,1057.787741
2013M06,1058.476962
2013M07,1059.768418
2013M08,1058.806814
2013M09,1055.441071
2013M10,1060.808888
2013M11,1058.479239
2013M12,1067.034745
2014M01,1055.462975
2014M02,1057.233948
2014M03,1060.083839
2014M04,1062.860567
2014M05,1061.376222
2014M06,1060.162725
2014M07,1063.378841
2014M08,1063.310648
2014M09,1062.778693
2014M10,1060.837307
2014M11,1064.859843
2014M12,1075.368976
2015M01,1069.760161
2015M02,1067.045891
2015M03,1076.42698
2015M04,1074.088874
2015M05,1073.578344
2015M06,1079.137264
2015M07,1073.900414
2015M08,1076.010046
2015M09,1077.709831
2015M10,1077.725902
2015M11,1077.670167
2015M12,1085.308733
2016M01,1081.615774
2016M02,1079.657516
2016M03,1080.094607
2016M04,1082.805791
2016M05,1083.63325
2016M06,1085.458543
2016M07,1083.992791
2016M08,1086.66008
2016M09,1084.293997
2016M10,1082.80837
2016M11,1088.640837
2016M12,1098.626005
2017M01,1092.632869
2017M02,1092.826132
2017M03,1091.153671
2017M04,1094.12204
2017M05,1095.236848
2017M06,1096.581787
2017M07,1095.907403
2017M08,1094.667169
2017M09,1096.487207
2017M10,1095.762361
2017M11,1096.189398
2017M12,1110.256188
2018M01,1102.351228
2018M02,1101.926173
2018M03,1103.983227
2018M04,1100.13162
2018M05,1101.065977
2018M06,1102.436675
2018M07,1098.853661
2018M08,1102.287912
2018M09,1103.830158
2018M10,1106.191315
2018M11,1100.48577
2018M12,1117.272689
2019M01,1107.506216
2019M02,1109.998851
2019M03,1109.910101
2019M04,1110.752535
2019M05,1111.484502
2019M06,1112.273806
2019M07,1116.941915
2019M08,1112.705855
2019M09,1113.893577
2019M10,1118.459222
2019M11,1116.408404
2019M12,1128.008126
2020M01,1121.070894
2020M02,1117.308657
2020M03,1125.278852
2020M04,1129.943517
2020M05,1123.785157
2020M06,1129.330072
2020M07,1130.489341
2020M08,1130.773234
2020M09,1139.818891
2020M10,1133.187949
2020M11,1137.841188
2020M12,1154.530456
2021M01,1140.193022
2021M02,1141.143633
2021M03,1145.900768
2021M04,1139.004458
2021M05,1143.57528
2021M06,1148.177942
2021M07,1142.759195
2021M08,1145.139575
2021M09,1148.351004
2021M10,1145.181573
2021M11,1149.966696
2021M12,1165.704312
2022M01,1151.974913
2022M02,1152.909306
2022M03,1156.098775
2022M04,1154.051729
2022M05,1155.956284
2022M06,1160.540984
2022M07,1158.487396
2022M08,1157.80866
2022M09,1159.036602
2022M10,1161.050761
2022M11,1160.581545
2022M12,1172.510837
2023M01,1165.226645
2023M02,1166.7606
2023M03,1165.430523
2023M04,1166.378043
2023M05,1167.968574
2023M06,1172.427494
2023M07,1170.466173
2023M08,1169.997085
2023M09,1167.504091
2023M10,1169.904646
2023M11,1173.951109
2023M12,1182.228268
2023M01,1176.078738
2023M02,1175.596576
2023M03,1180.127531
