Tipo de Cambio: Dólares de EE.UU.		
Del 01/05/2024 al 31/05/2024		
		
Fecha	TCR 1/	
01/05/2024	7.77182	
02/05/2024	7.7732	
03/05/2024	7.77465	
04/05/2024	7.77465	
05/05/2024	7.77465	
06/05/2024	7.76736	
07/05/2024	7.76738	
08/05/2024	7.76697	
09/05/2024	7.76473	
10/05/2024	7.76748	
11/05/2024	7.76748	
12/05/2024	7.76748	
13/05/2024	7.76288	
14/05/2024	7.76071	
15/05/2024	7.76407	
16/05/2024	7.77139	
17/05/2024	7.76584	
18/05/2024	7.76584	
19/05/2024	7.76584	
20/05/2024	7.75929	
21/05/2024	7.76599	
22/05/2024	7.76775	
23/05/2024	7.76412	
24/05/2024	7.77052	
25/05/2024	7.77052	
26/05/2024	7.77052	
27/05/2024	7.76498	
28/05/2024	7.7674	
29/05/2024	7.77129	
30/05/2024	7.76909	
31/05/2024	7.76756	7.767853226
		
Valores expresados en Quetzales		
1 / Tipo de Cambio de referencia calculado conforme resolución JM-126-2006		
		
Fuente: Banco de Guatemala		
