,PIB
2001Q1,70060.6
2001Q2,66509.1
2001Q3,66314.4
2001Q4,71106.3
2002Q1,72155.3
2002Q2,69896.2
2002Q3,70306.1
2002Q4,73264.1
2003Q1,75441.3
2003Q2,71542.1
2003Q3,71890.5
2003Q4,74221.7
2004Q1,76687.7
2004Q2,73508.5
2004Q3,74000.4
2004Q4,77600.2
2005Q1,79264
2005Q2,77149.5
2005Q3,75770.3
2005Q4,78863.6
2006Q1,83160
2006Q2,79399.4
2006Q3,80781.3
2006Q4,85047.2
2007Q1,88341.8
2007Q2,85226.5
2007Q3,85488.2
2007Q4,89195
2008Q1,90929.6
2008Q2,90145.1
2008Q3,88192.3
2008Q4,91738.9
2009Q1,90819.8
2009Q2,89285.9
2009Q3,89414.1
2009Q4,93767.9
2010Q1,93561.1
2010Q2,92080.5
2010Q3,91027.2
2010Q4,96812
2011Q1,97288.7
2011Q2,96227
2011Q3,96247.7
2011Q4,100318.9
2012Q1,101001.4
2012Q2,98806.4
2012Q3,98662.2
2012Q4,103889.3
2013Q1,103960.2145
2013Q2,103201.304
2013Q3,102372.4937
2013Q4,106849.2081
2014Q1,108289.5457
2014Q2,107649.8031
2014Q3,106782.8435
2014Q4,112165.0061
2015Q1,113343.6598
2015Q2,111016.1122
2015Q3,112035.3744
2015Q4,116288.3785
2016Q1,115243.0968
2016Q2,115126.3113
2016Q3,114354.3244
2016Q4,120081.7641
2017Q1,120681.0392
2017Q2,117991.6816
2017Q3,117906.0925
2017Q4,122542.0014
2018Q1,123950.2194
2018Q2,123024.8036
2018Q3,122027.8086
2018Q4,126441.0231
2019Q1,128558.7057
2019Q2,127734.4679
2019Q3,126950.5553
2019Q4,132106.5542
2020Q1,129609.1466
2020Q2,115921.9764
2020Q3,125171.4499
2020Q4,135445.8632
2021Q1,135416.212
2021Q2,134011.5246
2021Q3,135456.9703
2021Q4,141923.988
2022Q1,141826.2042
2022Q2,140382.1986
2022Q3,140792.3819
2022Q4,146774.7279
2023Q1,147507.0749
2023Q2,146161.9952
2023Q3,146456.1505
2023Q4,149745.0898
