Variables ->,ln_y_star,ln_y_star_sm,ln_ipei,ln_ipei_sa,ln_cpi_nosub,y,ln_y,ln_y_sa,ln_y_sm,ln_cpi_sub,ln_cpi_sub_sa,s,s_sa,ln_s,bm,bm_sa,ln_bm,ln_bm_sa,ln_cpi,ln_z,ln_z_sa,ln_v,ln_v_sa,ln_ipei_q,d4_ln_y_star,dla_y_star,d4_ln_y_star_sm,d4_ln_ipei,i_star,d4_ln_cpi_nosub,d4_ln_y,dla_y,d4_ln_y_sm,d4_ln_cpi_sub,d4_ln_s,d4_ln_bm,i,d4_ln_cpi,d4_ln_z,d4_ln_v,r,d4_ln_ipei_q,dla_ipei,dla_z,dla_s,dla_cpi_nosub,dla_cpi_sub,dla_cpi,dla_bm,dla_v,dla_ipei_q,s_d4_ln_y_star,s_d4_ln_ipei,s_i_star,s_d4_ln_cpi_nosub,s_d4_ln_y,s_d4_ln_cpi_sub,s_d4_ln_s,s_d4_ln_bm,s_i
Comments ->,Producto Interno Bruto Real EEUU (Logaritmo),"Producto Interno Bruto Real EEUU, Suma movil de 4 trimestres (Logaritmo)",脥ndice de Precios de transables (Logaritmo),脥ndice de Precios de transables (Logaritmo),Indice Inflaci贸n No subyacente (Logaritmo),Producto dom閟tico de Guatemala,Producto Interno Bruto Real Guatemala (Logaritmo),Producto Interno Bruto Real Guatemala (Logaritmo),"Producto Interno Bruto Real Guatemala, Suma movil de 4 trimestres (Logaritmo)",Indice Inflaci贸n Subyacente Optima MSE (Logaritmo),Indice Inflaci贸n Subyacente Optima MSE (Logaritmo),Tipo de cambio nominal,Tipo de cambio nominal,Tipo de Cambio Nominal (Logaritmo),Base Monetaria,Base Monetaria,Base Monetaria (Logaritmo),Base Monetaria (Logaritmo),Indice de Precios al Consumidor (Logaritmo),Indice Tipo de Cambio Real (Logaritmo),Indice Tipo de Cambio Real (Logaritmo),Velocidad de circulacion de la Base Monetaria(Logaritmo),Velocidad de circulacion de la Base Monetaria(Logaritmo),脥ndice de Precios de Transables GTQ (Logaritmo),Tasa de Variaci贸n Interanual del PIB de EEUU,Tasa de variaci髇 intertrimestral anualizada del PIB de EEUU,Tasa de Variaci贸n Interanual de la suma de 4 Trimestres del PIB de EEUU,Tasa de Variaci贸n Interanual del 脥ndice de Precios de Transables,Tasa de Interes de fondos federales,Inflacion No Subyacente Interanual,Tasa de Variaci贸n Interanual del PIB de Guatemala,Tasa de variaci髇 intertrimestral anualizada del PIB de Guatemala,Tasa de Variaci贸n Interanual de la suma de 4 Trimestres del PIB de Guatemala,Inflaci贸n Subyacente Optima MSE Interanual,Tasa de Variaci贸n Interanual del Tipo de Cambio Nominal,Tasa de Variaci贸n Interanual de la Base Monetaria,Tasa de Interes Lider de Politica Monetaria,Inflacion Total Internual,Tasa de Variaci贸n Interanual del Tipo de Cambio Real,Tasa de Variaci贸n Interanual de la Velocidad de circulacion de la Base Monetaria,Tasa de interes real de Politica Monetaria,Tasa de Variaci贸n Interanual del 脥ndice de Precios de Transables en GTQ,Tasa de Variaci贸n Intertrimestral Anualizada del 脥ndice de Precios de Transables,Tasa de Variaci贸n Intertrimestral Anualizada del Tipo de Cambio Real,Tasa de Variaci贸n Intertrimestral Anualizada del Tipo de Cambio Nominal,Inflacion No Subyacente Intertrimestral Anualizada,Inflacion Subyacente Optima MSE Intertrimestral Anualizada,Inflacion Total Intertrimestral Anualizada,Tasa de Variaci贸n Intertrimestral Anualizada de la Base Monetaria,Tasa de Variaci贸n Intertrimestral Anualizada de la Velocidad de circulacion de la Base Monetaria,Tasa de Variaci贸n Intertrimestral Anualizada del 脥ndice de Precios de Transables en GTQ,Shock de crecimiento externo,Shock de precios de transables,Shock de tasa de interes externa,Choque de inflacion no subyacente,Choque de demanda agregada,Choque de inflacion subyacente,Choque cambiario nominal,Choque monetario,Choque de Politica Monetaria
Class[Size] ->,tseries[111-by-1],tseries[111-by-1],tseries[111-by-1],tseries[111-by-1],tseries[111-by-1],tseries[111-by-1],tseries[111-by-1],tseries[111-by-1],tseries[111-by-1],tseries[111-by-1],tseries[111-by-1],tseries[111-by-1],tseries[111-by-1],tseries[111-by-1],tseries[111-by-1],tseries[111-by-1],tseries[111-by-1],tseries[111-by-1],tseries[111-by-1],tseries[111-by-1],tseries[111-by-1],tseries[111-by-1],tseries[111-by-1],tseries[111-by-1],tseries[111-by-1],,tseries[111-by-1],tseries[111-by-1],tseries[111-by-1],tseries[111-by-1],tseries[111-by-1],,tseries[111-by-1],tseries[111-by-1],tseries[111-by-1],tseries[111-by-1],tseries[111-by-1],tseries[111-by-1],tseries[111-by-1],tseries[111-by-1],tseries[111-by-1],tseries[111-by-1],tseries[111-by-1],tseries[111-by-1],tseries[111-by-1],tseries[111-by-1],tseries[111-by-1],tseries[111-by-1],tseries[111-by-1],tseries[111-by-1],tseries[111-by-1],tseries[111-by-1],tseries[111-by-1],tseries[111-by-1],tseries[111-by-1],tseries[111-by-1],tseries[111-by-1],tseries[111-by-1],tseries[111-by-1],tseries[111-by-1]
.endhist,2024Q2,2024Q2,2024Q2,2024Q2,2024Q2,2024Q2,2024Q2,2024Q2,2024Q2,2024Q2,2024Q2,2024Q2,2024Q2,2024Q2,2024Q2,2024Q2,2024Q2,2024Q2,2024Q2,2024Q2,2024Q2,2024Q2,2024Q2,2024Q2,2024Q2,2024Q2,2024Q2,2024Q2,2024Q2,2024Q2,2024Q2,2024Q2,2024Q2,2024Q2,2024Q2,2024Q2,2024Q2,2024Q2,2024Q2,2024Q2,2024Q2,2024Q2,2024Q2,2024Q2,2024Q2,2024Q2,2024Q2,2024Q2,2024Q2,2024Q2,2024Q2,2024Q2,2024Q2,2024Q2,2024Q2,2024Q2,2024Q2,2024Q2,2024Q2,2024Q2
2005Q1,967.05903,3861.02003,466.28397,466.8969369,-0.13698,79263.99744,1128.05393,1124.829002,4487.95348,492.87762,492.5736777,7.699774171,7.671129429,204.1191,17872.08719,17615.1017,979.09954,977.697922,370.73518,0.70744,1.219615527,-4.87225,-3.61021106,670.40307,2.98321,1.95666,2.91407,7.23952,2.66,-0.00104,5.11207,6.12491,5.01671,5.25502,-1.07118,16.8726,2.63667,5.25398,0.91331,-6.5055,-3.33988,6.16834,11.85499,2.00625,-4.20833,-1.09168,8.21998,4.44619,20.60606,-12.95599,7.64667,0.64882,1.06734,0.05301,-0.2616,0.05513,0.0806,-0.24524,0.34224,-0.02444
2005Q2,967.55073,3864.32535,468.12732,467.558028,0.20104,77149.50178,1125.35004,1126.309176,4493.25427,494.37418,494.2293481,7.603327649,7.631866614,202.8586,18374.38584,18439.27731,981.87129,982.2505827,372.47232,0.64959,-0.259815371,-6.07569,-5.004373729,670.98592,3.30533,0.4917,3.03972,7.31049,3.13667,0.20104,5.30079,-2.70389,5.12184,5.71215,-0.94874,17.08863,2.85985,5.9132,0.64959,-6.07569,-3.41553,6.36175,7.3734,-0.23137,-5.042,1.35209,5.98624,6.94856,11.087,-4.81376,2.3314,0.96435,0.49289,0.43298,-0.21096,0.0541,0.09176,-0.18978,0.67838,-0.05437
2005Q3,968.33146,3868.04359,470.26472,469.4872308,0.55751,75770.30195,1123.54617,1126.226778,4498.87916,495.73727,495.9221465,7.599986721,7.618846491,202.81465,18569.37876,18935.74243,982.92692,984.8052705,374.53492,0.19319,-0.202542257,-4.65163,-5.317075085,673.07937,3.71823,0.78073,3.24379,7.89028,3.62333,0.55751,5.6249,-1.80387,5.27909,6.23659,-1.46049,16.51311,3.33671,6.7941,0.19319,-4.65163,-3.31676,6.42978,8.5496,-1.8256,-0.1758,1.42587,5.45236,8.2504,4.22252,5.69626,8.3738,1.23432,0.78347,0.43351,-0.07587,0.10006,0.16498,-0.63434,0.34747,0.04688
2005Q4,968.88515,3871.82637,471.00826,471.6821316,0.78809,78863.6034,1127.54751,1126.977554,4504.49765,497.51997,497.7718343,7.633262177,7.617667958,203.25153,19878.9766,19699.9485,989.7418,988.8112862,376.97313,-0.72308,0.06042994,-5.11119,-6.861735339,674.25979,3.78278,0.55369,3.44739,7.68804,4.04667,0.65215,5.61849,4.00134,5.41406,6.69735,-1.91965,15.79377,3.90152,7.3495,-0.92896,-3.47794,-2.97765,5.76839,2.97416,-3.66511,1.74752,0.92232,7.1308,9.75284,27.25952,-1.83827,4.72168,1.11565,0.24396,0.37957,-0.18497,0.06256,0.16838,-0.85896,0.50491,0.08621
2006Q1,970.22156,3874.9889,471.33099,472.1441745,0.19938,83159.99651,1132.85217,1129.859016,4509.29589,499.81227,499.5286588,7.616664925,7.583742684,203.03386,21062.79094,20774.02369,995.52633,994.1538063,378.00619,-2.26543,-1.638310371,-9.56615,-8.160973408,674.36485,3.16253,1.33641,3.49222,5.04702,4.66333,0.33636,4.79824,5.30466,5.3356,6.93465,-1.08524,16.42679,4.25,7.27101,-2.97287,-4.6939,-2.42141,3.96178,1.29092,-6.1694,-0.87068,-2.35484,9.1692,4.13224,23.13812,-17.81982,0.42024,0.46676,-1.6779,0.60472,-0.35282,-0.15909,0.09266,-0.47563,1.77267,-0.04066
2006Q2,970.48049,3877.91866,473.90189,473.1726882,0.70035,79399.40075,1128.22461,1129.214099,4512.17046,501.15338,501.0315977,7.593322935,7.621029963,202.72693,21822.0477,21943.07823,999.06761,999.6925427,379.75083,-0.48671,-1.559815695,-13.61824,-12.61981602,676.62882,2.92976,0.25893,3.39833,5.77457,4.98667,0.49931,2.87457,-4.62756,4.72905,6.7792,-0.13167,17.19632,4.45152,7.27851,-1.1363,-7.54255,-2.2286,5.6429,10.2836,7.11491,-1.22772,2.00389,5.36444,6.97856,14.16512,-16.20836,9.05588,0.50921,1.02002,0.34097,-0.22466,-1.85958,-0.1517,0.38949,2.67551,-0.09329
2006Q3,970.6298,3880.217,475.06384,474.260971,0.413,80781.30145,1129.95008,1132.543594,4518.57437,502.24951,502.384158,7.589987162,7.611238819,202.68299,22128.27098,22503.77847,1000.46113,1002.079295,380.90265,-1.65159,-2.019046878,-9.26969,-9.838523712,677.74683,2.29834,0.14931,3.04335,4.79912,5.32,-0.14451,6.40391,1.72547,4.9238,6.51224,-0.13166,17.53421,4.92857,6.36773,-1.84478,-4.61806,-1.44573,4.66746,4.6478,-4.65952,-0.17576,-1.14941,4.38452,4.60728,5.57408,17.39422,4.47204,-0.01892,-0.04821,0.3811,-0.88432,2.62755,-0.35737,-1.04478,1.58617,0.13669
