"Variables ->","ln_y_star","ln_y_star_sm","ln_ipei","ln_cpi_nosub","ln_y","ln_y_sm","ln_cpi_sub","ln_s","ln_bm","ln_cpi","ln_z","ln_v","ln_ipei_q","d4_ln_y_star","d4_ln_y_star_sm","d4_ln_ipei","i_star","d4_ln_cpi_nosub","d4_ln_y","d4_ln_y_sm","d4_ln_cpi_sub","d4_ln_s","d4_ln_bm","i","d4_ln_cpi","d4_ln_z","d4_ln_v","r","d4_ln_ipei_q","dla_ipei","dla_z","dla_s","dla_cpi_nosub","dla_cpi_sub","dla_cpi","dla_bm","dla_v","dla_ipei_q","dla_y_star","dla_y","s_d4_ln_y_star","s_d4_ln_ipei","s_i_star","s_d4_ln_cpi_nosub","s_d4_ln_y","s_d4_ln_cpi_sub","s_d4_ln_s","s_d4_ln_bm","s_i"
"Comments ->","Producto Interno Bruto Real EEUU (Logaritmo)","Producto Interno Bruto Real EEUU, Suma movil de 4 trimestres (Logaritmo)","Índice de Precios de transables (Logaritmo)","Indice Inflación No subyacente (Logaritmo)","Producto Interno Bruto Real Guatemala (Logaritmo)","Producto Interno Bruto Real Guatemala, Suma movil de 4 trimestres (Logaritmo)","Indice Inflación Subyacente Optima MSE (Logaritmo)","Tipo de Cambio Nominal (Logaritmo)","Base Monetaria (Logaritmo)","Indice de Precios al Consumidor (Logaritmo)","Indice Tipo de Cambio Real (Logaritmo)","Velocidad de circulacion de la Base Monetaria(Logaritmo)","Índice de Precios de Transables GTQ (Logaritmo)","Tasa de Variación Interanual del PIB de EEUU","Tasa de Variación Interanual de la suma de 4 Trimestres del PIB de EEUU","Tasa de Variación Interanual del Índice de Precios de Transables","Tasa de Interes de fondos federales","Inflacion No Subyacente Interanual","Tasa de Variación Interanual del PIB de Guatemala","Tasa de Variación Interanual de la suma de 4 Trimestres del PIB de Guatemala","Inflación Subyacente Optima MSE Interanual","Tasa de Variación Interanual del Tipo de Cambio Nominal","Tasa de Variación Interanual de la Base Monetaria","Tasa de Interes Lider de Politica Monetaria","Inflacion Total Internual","Tasa de Variación Interanual del Tipo de Cambio Real","Tasa de Variación Interanual de la Velocidad de circulacion de la Base Monetaria","Tasa de interes real de Politica Monetaria","Tasa de Variación Interanual del Índice de Precios de Transables en GTQ","Tasa de Variación Intertrimestral Anualizada del Índice de Precios de Transables","Tasa de Variación Intertrimestral Anualizada del Tipo de Cambio Real","Tasa de Variación Intertrimestral Anualizada del Tipo de Cambio Nominal","Inflacion No Subyacente Intertrimestral Anualizada","Inflacion Subyacente Optima MSE Intertrimestral Anualizada","Inflacion Total Intertrimestral Anualizada","Tasa de Variación Intertrimestral Anualizada de la Base Monetaria","Tasa de Variación Intertrimestral Anualizada de la Velocidad de circulacion de la Base Monetaria","Tasa de Variación Intertrimestral Anualizada del Índice de Precios de Transables en GTQ","Tasa de Variación Intertrimestral Anualizada del producto externo","Tasa de Variación Intertrimestral Anualizada del producto doméstico","Shock de crecimiento externo","Shock de precios de transables","Shock de tasa de interes externa","Choque de inflacion no subyacente","Choque de demanda agregada","Choque de inflacion subyacente","Choque cambiario nominal","Choque monetario","Choque de Politica Monetaria"
"Class[Size] ->","tseries[117-by-1]","tseries[117-by-1]","tseries[117-by-1]","tseries[117-by-1]","tseries[117-by-1]","tseries[117-by-1]","tseries[117-by-1]","tseries[117-by-1]","tseries[117-by-1]","tseries[117-by-1]","tseries[117-by-1]","tseries[117-by-1]","tseries[117-by-1]","tseries[117-by-1]","tseries[117-by-1]","tseries[117-by-1]","tseries[117-by-1]","tseries[117-by-1]","tseries[117-by-1]","tseries[117-by-1]","tseries[117-by-1]","tseries[117-by-1]","tseries[117-by-1]","tseries[117-by-1]","tseries[117-by-1]","tseries[117-by-1]","tseries[117-by-1]","tseries[117-by-1]","tseries[117-by-1]","tseries[117-by-1]","tseries[117-by-1]","tseries[117-by-1]","tseries[117-by-1]","tseries[117-by-1]","tseries[117-by-1]","tseries[117-by-1]","tseries[117-by-1]","tseries[117-by-1]","tseries[117-by-1]","tseries[117-by-1]","tseries[117-by-1]","tseries[117-by-1]","tseries[117-by-1]","tseries[117-by-1]","tseries[117-by-1]","tseries[117-by-1]","tseries[117-by-1]","tseries[117-by-1]","tseries[117-by-1]"
".endhist","2021Q3","2021Q3","2021Q3","2021Q3","2021Q3","2021Q3","2021Q3","2021Q3","2021Q3","2021Q3","2021Q3","2021Q3","2021Q3","2021Q3","2021Q3","2021Q3","2021Q3","2021Q3","2021Q3","2021Q3","2021Q3","2021Q3","2021Q3","2021Q3","2021Q3","2021Q3","2021Q3","2021Q3","2021Q3","2021Q3","2021Q3","2021Q3","2021Q3","2021Q3","2021Q3","2021Q3","2021Q3","2021Q3","2021Q3","2021Q3","2021Q3","2021Q3","2021Q3","2021Q3","2021Q3","2021Q3","2021Q3","2021Q3","2021Q3"
"2000Q1",952.16218,3810.46955,442.19245,1.08244,1110.86787,4428.75104,454.93252,203.91855,931.07345,336.70051,-2.22862,-4.36555,646.11099,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2000Q2",956.23388,3813.59132,444.11457,-0.00000,1108.51510,4432.78252,456.37268,202.00502,927.32241,338.53171,0.00000,0.00000,646.11959,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2000Q3",955.51810,3816.89374,442.93512,0.00000,1107.38631,4437.02797,457.95168,204.15719,927.61694,339.08224,-0.00000,-0.00000,647.09231,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2000Q4",956.50230,3820.41646,446.35761,-1.08244,1114.76601,4441.53529,459.73159,206.73684,933.06636,339.72271,2.22862,4.36555,653.09445,3.52273,NaN,15.92313,5.46763,-2.82600,4.50732,NaN,7.43007,0.73022,5.54158,5.78409,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2001Q1",955.98064,3824.23492,460.15851,-2.04488,1115.71159,4446.37900,462.93904,204.72486,937.46194,341.57971,8.53723,2.09619,664.88337,3.81846,3.44134,17.96606,5.54000,-3.12732,4.84371,4.40699,8.00652,0.80631,6.38849,5.78667,4.87920,10.76586,6.46174,-2.60045,18.77238,55.20358,25.23444,-8.04793,-3.84973,12.82980,7.42801,17.58232,-9.07744,47.15565,-2.08663,3.78232,1.25328,5.57352,0.04377,-1.16336,0.08517,0.21980,0.05632,0.06086,-0.02680
"2001Q2",956.60338,3824.60442,458.52585,-3.92129,1110.50941,4448.37331,464.81447,205.06956,938.30516,343.05221,9.03403,-0.54666,663.59541,0.36950,2.75328,14.41128,4.28667,-3.92129,1.99431,3.89770,8.44178,3.06454,10.98275,4.81667,4.52050,9.03403,-0.54666,-3.63798,17.47582,-6.53063,1.98720,1.37880,-7.50564,7.50172,5.88998,3.37290,-10.57140,-5.15183,2.49098,-20.80872,-2.32425,3.29136,-1.04516,-1.30308,-0.27691,0.13583,1.90337,2.68361,-0.51189
"2001Q3",956.20178,3825.28810,456.81155,-2.92816,1110.21623,4451.20323,467.24016,206.26031,940.24946,345.44256,6.69107,-0.51413,663.07185,0.68368,2.09859,13.87643,3.41000,-2.92816,2.82992,3.54382,9.28847,2.10312,12.63253,4.76333,6.36032,6.69107,-0.51413,-4.18381,15.97954,-6.85722,-9.37186,4.76299,3.97252,9.70276,9.56141,7.77720,0.13011,-2.09422,-1.60639,-1.17268,-0.51059,3.82418,-0.80064,0.11571,0.13937,0.57389,0.27648,0.75842,-0.08808
"2001Q4",956.47648,3825.26229,453.40147,-3.37693,1117.19312,4453.63035,469.77513,208.56396,947.10900,347.47177,1.05605,2.79357,661.96543,-0.02582,1.21146,7.04385,2.08000,-2.29448,2.42712,3.02377,10.04355,1.82712,14.04264,4.64000,7.74906,-1.17257,-1.57198,-4.04167,8.87097,-13.64031,-22.54008,9.21461,-1.79509,10.13990,8.11685,27.43815,13.23082,-4.42570,1.09877,27.90755,-1.35668,-2.01522,-1.23072,0.43391,-0.13443,0.68144,0.53522,0.87681,-0.15982
"2002Q1",957.30928,3826.59093,452.88819,-3.89561,1118.65760,4456.57636,473.40317,207.39932,952.17165,350.19311,-6.52276,0.79662,660.28751,1.32864,0.58900,-7.27032,1.80667,-1.85074,2.94602,2.54934,10.46413,2.67446,14.70972,4.67000,8.61340,-15.05999,-1.29957,-2.67182,-4.59586,-2.05311,-30.31523,-4.65857,-2.07473,14.51214,10.88535,20.25061,-7.98779,-6.71168,3.33121,5.85792,0.30624,-12.92085,-0.35270,1.05194,-0.84789,0.85473,0.66902,0.74211,-0.19977
